poll_id,token,institution,is_info_useful,is_info_missing,missing_info,improvements,date,missing_info_sentiment,improvements_sentiment,missing_info_en,improvements_en,missing_info_adj,improvements_adj,missing_info_noun_adj,improvements_noun_adj,missing_info_en_adj,improvements_en_adj,missing_info_en_noun_adj,improvements_en_noun_adj
3539,SFP54,SFP-04-001,0,Sí,como desbloquear usuarios en caso de que este sea bloqueado ademas no contestan el telefono de atencion a cliente,contestar porque no llamo por gusto tengo una emergencia,2016-02-19,0.0,1,as users unlock if this is blocked besides not answer the customer service phone,answer because i do not call for pleasure i have an emergency,bloqueado,,usuarios caso bloqueado telefono atencion cliente,gusto emergencia,,,users answer customer service phone,answer pleasure emergency
3608,SRE113,SRE-03-003,0,Sí,es dificil econtrar el formato de pago deberia estar a la mano,el costo pago mucho dinero por impuestos y todavia se debe pagar un costo alto por este concepto,2016-02-19,0.0,1,format is difficult econtrar payment should be at hand,cost money pay tax and still high cost to pay for this item,DIFICIL,ALTO,DIFICIL FORMATO PAGO MANO,COSTO PAGO DINERO IMPUESTOS TODAVIA COSTO ALTO CONCEPTO,DIFFICULT econtrar,HIGH,FORMAT DIFFICULT econtrar PAYMENT HAND,COST MONEY TAX HIGH COST ITEM
3627,SRE112,SRE-03-002,1,No,,no entra nunca la llamada al  no sacan citas ni te atienden en mdulo y la pgina no funciona para sacar citas muy claro lo que ocupas pero es intil porque no se puede hacer nada sin cita,2016-02-19,0.0,0,,no never enters the  call  do not take appointments and will cater md ndulo and pd gina dating does not work out  very clear what you occupy but ta n til because no you can do anything without an appointment ,,llamada,,llamada citas mÐ citas ocupas inÐ Ñ til cita,,ÐŽgina clear,,call appointments MD N dulo pd ÐŽgina dating work clear occupy n anything appointment
3601,SFP54,SFP-04-001,0,Sí,qu calidad moral tiene el chiquitn empleado de epn,"todo desde el chiquitn empleado de enp hasta donde poder mandar un correo para denunciar los abusos de los funcionarios de la nclita secretara que vigila que no se roben nada pero que viajan a otros pases a costa de los impuestos de los honrados ciudadanos y que 
viva mxico",2016-02-20,0.0,0,quds   moral quality has the chiquit an employee epn,"everything from the chiquit an employee enp as far as to send an email to denounce abuses of officials of the d nclita secretar aa monitors not steal anything but traveling other pd ases at the expense of honest citizens taxes and 
viva md    xico ",empleado,empleado honrados,Â© calidad moral chiquitÐ Â­n empleado,chiquitÐ Â­n empleado correo abusos funcionarios Ð Â­nclita Â­a paÐ Â­ses costa impuestos honrados ciudadanos â€°XICO,moral,chiquitÐ honest,Ð Ñ- Quds Â moral quality chiquitÐ employee EPN,Everything chiquitÐ employee ENP email abuses officials D SecretarÐ AA monitors anything Päd ASES expense honest citizens taxes VIVA MD Xico
3638,SRE112,SRE-03-002,0,Sí,no me responden en el telfono de   y llame a mi delegacin y dicen que debo agendas cita en esta pgina (y por cierto no encuentro en donde se agenda aqu o llamando a ese telfono en donde nunca responden entonces parece misin imposible tramitar el pasaporte son muchas personas como pueden solo dar una lnea de telfono y hagan la pgina ms fcil poniendo un simple link que diga citas para pasaporte,no me responden en el telfono de   y llame a mi delegacin y dicen que debo agendas cita en esta pgina (y por cierto no encuentro en donde se agenda aqu o llamando a ese telfono en donde nunca responden entonces parece misin imposible tramitar el pasaporte son muchas personas como pueden solo dar una lnea de telfono y hagan la pgina ms fcil poniendo un simple link que diga citas para pasaporte,2016-02-22,0.0,0,i do not respond in tel   fono of    and call my delegaci n say i should agendas together in this pd gina (and indeed i can not find where agenda aqu doe or by calling the tel   fono where never answer then seems misid n impossible to process the passport many people like ld can only give a anea of tel   phone  and do the pd gina md dzs fd cil putting a simple link that says quotes for passport,i do not respond in tel   fono of    and call my delegaci n say i should agendas together in this pd gina (and indeed i can not find where agenda aqu doe or by calling the tel   fono where never answer then seems misid n impossible to process the passport many people like ld can only give a anea of tel   phone  and do the pd gina md dzs fd cil putting a simple link that says quotes for passport,imposible simple,imposible simple,telÐ Â©fono delegaciÐ agendas cita ÐŽgina encuentro telÐ Â©fono misiÐ imposible pasaporte personas lÐ Â­nea telÐ Â©fono ÐŽgina mÐ ÐŽs fÐ ÐŽcil simple,telÐ Â©fono delegaciÐ agendas cita ÐŽgina encuentro telÐ Â©fono misiÐ imposible pasaporte personas lÐ Â­nea telÐ Â©fono ÐŽgina mÐ ÐŽs fÐ ÐŽcil simple,impossible Many simple,impossible Many simple,Â fono delegaciÐ pd ÐŽgina AGENDA AQUÐ DoE Â fono MISID Ñ impossible process passport Many people ld ANEA telÐ Â phone pd ÐŽgina MD DZS fd ÐŽcil simple link QUOTES PASSPORT,Â fono delegaciÐ pd ÐŽgina AGENDA AQUÐ DoE Â fono MISID Ñ impossible process passport Many people ld ANEA telÐ Â phone pd ÐŽgina MD DZS fd ÐŽcil simple link QUOTES PASSPORT
3572,SRE113,SRE-03-003,0,Sí,no dice donde puede uno hacer su cita luego marca uno al telfono que viene all y no le contestan,ser mas cordiales,2016-02-22,0.0,1,it does not say where can one make an appointment then dials one to the tel   phone that comes alld  and does not answer,be more cordial,,cordiales,cita marca telÐ Â©fono allÐ,cordiales,,cordial,appointment telÐ Â phone ALLD Â answer,cordial
3573,SRE113,SRE-03-003,0,Sí,no dice donde puede uno hacer su cita luego marca uno al telfono que viene all y no le contestan,ser mas cordiales,2016-02-22,0.0,1,it does not say where can one make an appointment then dials one to the tel   phone that comes alld  and does not answer,be more cordial,,cordiales,cita marca telÐ Â©fono allÐ,cordiales,,cordial,appointment telÐ Â phone ALLD Â answer,cordial
3620,SRE113,SRE-03-003,0,Sí,no dice donde puede uno hacer su cita luego marca uno al telfono que viene all y no le contestan,ser mas cordiales,2016-02-22,0.0,1,it does not say where can one make an appointment then dials one to the tel   phone that comes alld  and does not answer,be more cordial,,cordiales,cita marca telÐ Â©fono allÐ,cordiales,,cordial,appointment telÐ Â phone ALLD Â answer,cordial
3575,INM637,INM-03-004-B,1,Sí," formato de solicitud de trmite de estancia debidamente llenado
 copia de formato de solicitud de tramite pendiente de resolucin
 copia de comprobante de registro de solicitud
 carta del extranjero solicitando salida del pas en la que se incluya fecha de salida y regreso transporte y lugar de destino
 el costo del trmite no es gratuito cuesta 
 el documento migratorio vigente tal vez no lo tenga el extranjero puesto que lo pudo haber entregado para el trmite pendiente de resolucin
 una fotografa tamao pasaporte",todo,2016-02-22,0.0,0," application form trd mite duly filled stay
 copy format request pending ruling of resoluci n
 copy of proof of registration application
 letter requesting output abroad pad as in which departure and return transportation and destination is included
 the cost of the trd mite is not free it costs  
 the current immigration document might not have overseas since it could have delivered for the trd pending mite of resoluci n
 a fotograf a tamad   or passport",everything,trÐ llenado formato pendiente comprobante extranjero salida gratuito migratorio vigente extranjero puesto pendiente,,Formato solicitud trÐ estancia llenado Copia formato solicitud pendiente resoluciÐ Copia comprobante registro solicitud Carta extranjero salida paÐ Â­s fecha salida regreso transporte lugar destino costo ÐŽmite gratuito documento migratorio vigente tal vez extranjero puesto ÐŽmite pendiente resoluciÐ fotografÐ Â­a tamaÐ Â±o pasaporte,,free current,,Application form TRD stay Copy format request pending ruling resoluciÐ Ñ n. proof registration application Letter output pad departure return transportation destination cost TRD ÐŽmite free current immigration document TRD ÐŽmite resoluciÐ Ñ n. fotografÐ Âa tamad passport,EVERYTHING
3636,SRE112,SRE-03-002,0,No,,su pinche pgina es una mierda no encuentra mi colonia y adems el nmero de telfono para citas est fuera de servicio,2016-02-23,0.0,1,,your fucking sucks page not find my colony and besides its nmero of tel  phone for appointments est out of service,,telГ©fono,,pinche mierda colonia ademГЎs nГєmero telГ©fono citas servicio,,,,fucking page colony n Гєmero telГ phone appointments estГЎ service
3645,SEP69,SEP-01-030-A,1,Sí,se describe el proceso para solicitar la emisin de la cdula profesional y est muy bien pero no se describe el proceso o trmite que se requiere para recoger la cdula solicitada,describan todo el proceso de principio a fin incluyendo qu se tiene que hacer para recoger la cdula solicitada en esta pgina no se dice nada sobre eso,2016-02-23,0.0,0,describes the process for requesting emisi nn of the cd   cord professional and estd dz well but the process or trd does not describe mite required to collect cd   cord requested ,you describe the whole process from start to finish including qud   you have to do to pick up the cd   dula requested in this pd gina not said anything about it,profesional trÐ solicitada,solicitada,proceso emisiÐ Â©dula profesional estÐ ÐŽ proceso trÐ cÐ Â©dula solicitada,proceso principio fin quÐ cÐ Â©dula solicitada pÐ ÐŽgina,professional,whole,process emisiÐ n-n CD cord professional ESTD dz process TRD describe ÐŽmite collect CD Â cord,whole process finish QUD CD dula pd ÐŽgina anything
3638,INM822,INM-03-010-A,0,Sí,falta que dice las cartas de personas que ellos desean realizar,la pagina esta muy mal hecha espero que la pueden mejorar aunque sea poquito,2016-02-23,0.0,1,missing letters telling people they want to make,the page is very badly done i hope can improve even a little,,hecha,Falta cartas personas,pagina hecha,Missing,little,Missing letters people,page little
3639,SFP54,SFP-04-001,0,Sí,la pagina de internet es completamente lenta no funciona adecuadamente es inaceptable que con la tecnologia actual aun se tengan estos sistemas obsoletos y inutiles el telefono de contacto que muestran     nunca contestan si no hay nadie para que lo ponen como contacto ,todo  mejor sistema mejorar la pagina web contratar a unos programadores buenos hacer la pagina user friendly es descepcionante y deprimente lo que hay que batallar por sacar un simple pasaporte,2016-02-23,0.0,0,the website is quite slow not working properly it is unacceptable that with todays technology even these obsolete and useless systems have the contact phone showing     never answer if there is nobody to put it as a contact ,all  better system improve the website hire some programmers buenos make the page user friendly it is descepcionante and depressing thing to fight for draw a simple passport,internet lenta inaceptable actual obsoletos inutiles,mejor deprimente simple,pagina internet lenta inaceptable tecnologia actual sistemas obsoletos inutiles contacto,mejor sistema pagina programadores pagina user friendly descepcionante deprimente simple pasaporte,slow unacceptable obsolete useless,better friendly depressing simple,website slow unacceptable today technology obsolete useless systems contact phone nobody contact,better system website programmers Buenos page user friendly depressing thing simple passport
3625,SRE112,SRE-03-002,1,No,,estoy llamando al  para hacermi cita ytemgp dias y nada,2016-02-23,0.0,1,,im calling the appointment hacermi  for days and nothing ytemgp,,,,cita ytemgp dias,,,,appointment days nothing
3601,SRE572,SRE-01-020-A,1,Sí,que deben de contestar los telefonos end mexitel pot que llevo dias marcando y no contestan y deben de ser mas amablespies gracias a nosotros tienen trabajo,contesten el telefono que para eso les paganel servicio es de lo peor,2016-02-24,0.0,0,they must answer phones end mexitel pot i have days marking and no answer and should be more amablespies because we have work,answer the phone thats what they paganel service is the worst,amables.pies,peor,amables.pies gracias trabajo,telefono servicio peor,,worst,phones MEXITEL pot days answer amables pies,phone pagan.el service worst
3642,SFP54,SFP-04-001,0,Sí,ni siquiera se puede ingresar a la pgina de sugerencia pero lo entiendo si tampoco puede entrar correctamente a la pag de la sener para hacer una consulta,todo,2016-02-24,0.0,0,you can not even enter the pd gina suggestion but i understand if you can not correctly enter the pag sener for a consultation,everything,ÐŽgina,,siquiera ÐŽgina sugerencia consulta,,ÐŽgina SENER,,pd ÐŽgina suggestion Pag SENER consultation,EVERYTHING
3663,SFP54,SFP-04-001,0,Sí,hice una cita para el  de febrero luego llame para confirmar hacerca de mi dicha cita para solicitar la credencia de elector al final se llego el dia de dicha cita fui y no me atendieron que proque ahun no tenian las solicitudes para tramiar la crecenciales y supuesta mente desde el  de febrero se podian tramitar solo fui a aperder mi tiempo,no dar informacion falsa,2016-02-24,0.0,0,i made an appointment for february  hacerca then call to confirm my appointment to apply this credenza elector to the final day of that event was reached and was not treated me that proque ahun had no requests for tramiar the crecenciales and alleged mind since february  could process i just went to my time aperder,not give false information,dicha dicha crecenciales supuesta,falsa,cita febrero hacerca dicha cita credencia elector final dia dicha cita solicitudes crecenciales supuesta mente febrero tiempo,informacion falsa,hacerca final tramiar,false,appointment February hacerca call confirm appointment credenza elector final day event ahun requests tramiar crecenciales mind February time,false information
3656,SEGOB171,SEGOB-05-005,0,Sí,tramite de correccion de curp desde otro estado del pas,tramite atencion informacion no hay nada,2016-02-24,0.0,1,correction processed curp from another state of the pas,processed care information nothing,,,,tramite atencion informacion,,,CORRECTION CURP State PaГs,care information nothing
3666,SRE113,SRE-03-003,0,Sí,que sea eficiente la pagina de internet para hacer citas ya que tiene muchas fallas en los telfonos nadie contesta,que sea eficiente la pagina de internet para hacer citas ya que tiene muchas fallas,2016-02-24,0.0,0,that is efficient the website to dating as it has many flaws  in tel    fonos no answer ,that is efficient the website to dating as it has many flaws ,EFICIENTE,EFICIENTE,EFICIENTE PAGINA CITAS FALLAS TELÐ,EFICIENTE PAGINA CITAS FALLAS,EFFICIENT many,EFFICIENT many,EFFICIENT WEBSITE many flaws TELÐ â € FONOS answer,EFFICIENT WEBSITE many flaws
3670,SFP54,SFP-04-001,1,Sí,cuando hago una cita por internet dice igual que nose pueden hacer citas por el momento,muchoooo cuanda llamo para hacer una cita  siempre contesta una maquina  que dice  por el momento no podemos atender tu llamada llama mas tarde y nunca contestan deberian ponernos en espera por lo menos,2016-02-24,0.0,0,when i make an appointment online it says like donot can make appointments for now,muchoooo cuanda call for an appointment always answer a machine that says  for the moment we can not take your call calls later and never answer should put us on hold for at least,igual,llamada,cita internet igual citas momento,cita maquina momento llamada,,muchoooo,appointment online appointments,muchoooo Cuanda call appointment machine moment take call calls
3672,SRE113,SRE-03-003,1,Sí,su linea  esta pesima una dependecia del gobierno federal no debera de ofrecer este tipo de servicios tan de mala calidad deberan de mejorar su sistema de llamadas,mejoren su linea  siempre esta saturada,2016-02-24,0.0,0,his line  this pesima a dependecia of the federal government deber aa offer such services as shoddy deber aan improve its system calls ,improve their line  is always saturated,pesima dependecia federal mala llamadas,saturada,linea pesima dependecia gobierno federal tipo servicios mala calidad sistema llamadas,linea saturada,pesima dependecia federal shoddy deberÐ,,line pesima dependecia federal government deberÐ AA services shoddy deberÐ Aan improve system calls,line
3680,SRE116,SRE-03-006-B,1,Sí,que no te dicen que la cita es solo para que te registren mas no respetan el horario de la cita,respetar el horario de las personas que hacen cita y pedir al personal de la sre delegacin puebla que sean mas amables y atentos,2016-02-25,0.0,1,they do not tell you that the appointment is for you to register but do not respect the schedule appointment,respect the schedule of the people who make an appointment and ask staff sre delegaci n puebla that are more friendly and attentive,solo,personal amables atentos,cita solo horario cita,horario personas cita personal amables atentos,,friendly attentive,appointment register respect schedule appointment,respect schedule people appointment staff SRE delegaciÐ Ñ -n Puebla friendly attentive
3663,SRE117,SRE-03-006-A,0,Sí,como hago la cita es imposible por telfono y lo saben llevo tratando una semana a todas horas es increble tan mal servicio,mejoren sus sistemas antes era muy fcil ahora es imposible,2016-02-25,0.0,0,as i make an appointment it is impossible for tel   phone and you know ive been trying a week at all hours is incred able such bad service,improve their systems before was very fd cil now is impossible,imposible mal,fÐ imposible,cita imposible Â©fono semana horas mal servicio,sistemas fÐ imposible,impossible ABLE bad,impossible,appointment impossible phone week hours Incred ABLE bad service,systems fd impossible
3692,SRE112,SRE-03-002,1,Sí,tan fcil como el nmero   donde se agenda la cita el sitio es nefasto para navegar deben hacerlo amigable otra sugerencias links por ejemplo en pago donde te envie al formato,todo el sitio est psimamente diseado apliquen bien los recursos para realizar sitios efectivos,2016-02-26,0.0,0,fd as cil as nd n number   where the appointment agenda the site is harmful to sail they must do so friendly other links suggestions for example where you send payment to the format,entire site estd dz pd   simamente dise   ado implement good resources for effective sites,mero nefasto amigable links,efectivos,fÐ ÐŽcil nÐ Ñ mero agenda cita sitio nefasto amigable sugerencias links ejemplo pago formato,sitio estÐ ÐŽ pÐ diseÐ Â±ado recursos sitios efectivos,harmful friendly Other,Entire good effective,Fd ÐŽcil Nd N number appointment agenda site harmful sail friendly Other links suggestions example payment format,Entire site ESTD dz pd simamente diseÐ ± ado good resources effective sites
3669,SEMARNAT451,SEMARNAT-03-033,0,Sí,necesito checar el estatus de una solicitud de certificado de importacion y no encuentro como checar por el numero de bitacora anteriormente estaba mejor la pagina para que la cambiaron,dejen la pagina como estaba de todos modos nadie contesta el telefono en el supuesto contacto ciudadano,2016-02-26,0.0,0,need check the status of an application for import licenses and can not find how to check for the number of bitacora previously was the best page to that changed,leave the page was like anyway no one answer the phone assuming contact citizens,,SUPUESTO,ESTATUS SOLICITUD CERTIFICADO IMPORTACION NUMERO BITACORA PAGINA,PAGINA MODOS TELEFONO SUPUESTO CONTACTO,BEST,,check status application import licenses NUMBER BITACORA BEST PAGE,PAGE answer phone CONTACT CITIZENS
3639,SRE113,SRE-03-003,0,Sí,el   que documentos se necesitan,nadie contesta en el  no sirve esta ocupado o no se pero se necesita de urgencia,2016-02-26,0.0,1,  documents are needed ,nobody answers the  does not work  it is occupied or not but it needs urgent,,ocupado,documentos,ocupado urgencia,,urgent,documents,Nobody needs urgent
3696,SFP54,SFP-04-001,0,Sí,piden informacin que ni en las actas de nacimiento aparece no es posible que un campo te lleve a otro y a otro y a otroy no existen las opciones del trmite que requiero hacer psima la pgina y mi trmite qu,por qu revolvieron la informacin y trmites de todas las dependencias y rganos descentralizados no se encuentra nada dejenlo como estaba,2016-02-26,0.0,0,informacin asked that neither birth certificates appears is not a field may take you to another and another and another  and there are no options that i require the trmite do p  sima page and my trmite qu ,by qu  they churned the informacin and trmites of all units and  decentralized bodies nothing is found leave it as it was,posible,descentralizados,informaci actas nacimiento posible campo opciones trГЎmite,quГ © informaciГіn trГЎmites descentralizados,,,InformaciГіn birth certificates field options trГЎmite PГ sima page trГЎmite quГ,quГ © informaciГіn trГЎmites units Г bodies nothing
3718,SEDESOL58,SEDESOL-20-001-A,1,No,,porsupuesto,2016-02-29,0.0,1,,porsupuesto,,porsupuesto,,porsupuesto,,,,porsupuesto
3719,SRE112,SRE-03-002,1,Sí,cuando se solicita un pasaporte por alguna emergencia comprobada,la actitud de las personas,2016-02-29,0.0,1,when a passport is required for some proven emergency,the attitude of people,comprobada,,pasaporte emergencia comprobada,actitud personas,,,passport emergency,attitude people
3691,SFP54,SFP-04-001,0,Sí,de nada sirve que pongan esa informacin y telfonos para contactarlos si nadie atiende siempre suena ocupado,todo quiero agendar una cita no se puede por telfono siempre suena ocupada la linea por internet o no hay sistema o cuando hay despus de haber llenado todos los interminables campos que te piden al momento de seleccionar la fecha de la cita ya no pasa nada ah se queda ya no se puede avanzar de verdad deja mucho que desear su servicio,2016-03-01,0.0,0,there is no point put that informaci   esos and tel    fonos to contact them if nobody attends always busy signal,all i want to schedule an appointment can not by tel    telephone always rings busy line by internet or no system or when there despu    s have completed all the endless fields you ask  a time to select your appointment date and nothing happens ahd doe stays and can not move really is far from satisfactory service,OCUPADO,OCUPADA INTERMINABLES,INFORMACIÐ â€œN TELÐ â€°FONOS CONTACTARLOS OCUPADO,CITA TELÐ OCUPADA LINEA â€°S INTERMINABLES CAMPOS MOMENTO VERDAD SERVICIO,busy,BUSY ENDLESS satisfactory,point INFORMACIÐ â € ESO TELÐ â € FONOS contact nobody busy signal,schedule appointment TELÐ â € TELEPHONE BUSY LINE INTERNET SYSTEM DESPUÐ â € ° ENDLESS FIELDS TIME APPOINTMENT DATE NOTHING AHD DoE satisfactory service
3692,ISSSTE498,ISSSTE-06-012-B,0,Sí,realizarla por internet ya que queda lejisimos la unidad para llevarlo a cabo,en todoooo,2016-03-01,0.0,1,do it online because it is very far drive to carry it out,in todoooo,lejisimos,,internet lejisimos unidad cabo,,,,drive carry,todoooo
3693,CFE206,CFE-00-001-A,1,Sí,dejar el sistema sisproter como estaba para aguilizar los tramites,que todas las zonas lo tomen como uno solo viendo cual de ellas aguiliza mas rapido el tramite,2016-03-01,0.0,1,sisproter leave the system as it was for aguilizar formalities,all zones take it as one seeing which one aguiliza faster tramite,,SOLO,SISTEMA TRAMITES,ZONAS SOLO AGUILIZA TRAMITE,AGUILIZAR,faster,system AGUILIZAR formalities,zones AGUILIZA faster TRAMITE
3739,SRE113,SRE-03-003,0,Sí,a que cuenta debo hacer el pago del pasaporte en que pagina de internet debo hacer mi cita,esta mal estructurado el sitio web no se entiende y falta mucha informacin para orientar a los interesados,2016-03-02,0.0,1,to account must make payment for the passport that internet page i make my appointment,this badly structured website is not understood and it takes a lot of informacin to guide stakeholders,,estructurado web interesados,cuenta pago pasaporte pagina internet cita,estructurado sitio web informaci interesados,,Гіn,account payment passport internet page appointment,website lot Гіn guide stakeholders
3724,AFSEDF842,AFSEDF-01-014,1,No,,le falta especificar cosas que no dicen,2016-03-02,0.0,1,,you specify missing things they do not tell,,,,cosas,,,,things
3688,SEP69,SEP-01-030-A,0,Sí,tarda mucho la paguina y se bloquea,mas rapido la paguina,2016-03-03,0.0,1,paguina and takes a lot of crashes,but i fast the paguina,,rapido,paguina,rapido paguina,,fast,paguina lot crashes,fast paguina
3736,SRE144,SRE-03-007-A,0,Sí,el link para hacer la cita por internet,todo,2016-03-03,0.0,1,the link to the online appointment ,everything,,,link internet,,online,,link online appointment,EVERYTHING
3724,AFSEDF842,AFSEDF-01-014,1,No,,nada,2016-03-03,2.0,1,,nothing,,,,,,,,nothing
3756,SRE159,SRE-03-015,0,Sí,algun otro numero ya que nunca entra la llamada,todo la pag es confusa y llevo horas intentado saber en donde y como puedo tramitar cita para sacar un pasaporte atn milton ,2016-03-03,0.0,0,some other number as the call never comes,all  p it is confusing and took hours trying to know where and how i can arrange an appointment to get a passport atn milton ,llamada,confusa intentado,numero llamada,pag confusa horas intentado cita pasaporte,,confusing,number call,p. confusing hours appointment passport Atn Milton
3728,SFP54,SFP-04-001,0,Sí,sus nmeros telefnicos nada ms,toda la pgina ocupan espacio y tiempo en plasmar que es un trmite gratuito cunado todos sabemos que es as ,2016-03-03,0.0,1,their na  mere telef nmechanics  md nothing dzs,all pd gina take up space and time to translate it is a trd mite freelaw all know it is asd  ,meros,gratuito,Ñ meros telefÐ ÐŽ s,pÐ ÐŽgina espacio tiempo ÐŽmite gratuito asÐ ­ Ð ’,mere,Free,Ñ mere telefÐ N-mechanics MD nothing DZS,pd space time TRD ÐŽmite Free law asd Â Ð Ñ
3746,SRE112,SRE-03-002,0,Sí,la opcin de hacer citas no encuentro en ningn lado como sacar la cita para el pasaporte en linea gracias,todo,2016-03-04,0.0,0,the opci nn to make appointments  i find in ning n n side and make an appointment for a passport online thanks ,everything,,,citas Ñ n lado cita pasaporte linea,,n online,,opciÐ appointments ning Ð n n side appointment passport online thanks,everything
3766,SRE260,SRE-01-033,0,Sí,mucha nesesito una cita,sus empleados no te dan informacion,2016-03-04,0.0,1,lot nesesito an appointment,employees do not give you information,,,cita,empleados informacion,nesesito,,lot nesesito appointment,employees information
3705,SRE112,SRE-03-002,0,Sí,como saco una cita parece que en vez de estar en  estamos en  ustedes como los cangrejos,todo es una verdadera porqueria su sitio gobmx parece un sitio hecho por estudiantes d primaria que vergenza,2016-03-04,0.0,1,as sack an appointment it seems that instead of being in  we are in  you like crabs,everything is a real mess gobmx place it seems a site by students d primary which verg enza,,verdadera gob.mx hecho primaria,saco cita vez 2016 1906 cangrejos,verdadera porqueria sitio gob.mx sitio hecho estudiantes d primaria vergÐ,,real primary,sack appointment crabs,Everything real mess mx place site students primary vergÐ Ñ~enza
3706,SRE117,SRE-03-006-A,0,Sí,"hablo para solicitar mic ita y no quieren dar informacion telefonica me dicen que vaya al sitio web entro y veo como  tipos diferentes de pasaporte

en ningun lado se ve donde se paga y en donde
este servicio esta pesimo",todo,2016-03-05,0.0,0,"speak to ask ita mic and do not want to telephone information they tell me to go to the web site go in and see it as  different types of passport

nowhere it is where you pay and where
this service is lousy",everything,telefonica pesimo,,mic ita informacion telefonica sitio web tipos pasaporte lado paga servicio pesimo,,different lousy,,ita mic telephone information web site different types passport service lousy,Everything
3774,SRE112,SRE-03-002,0,Sí,su informacin es ambigua,todo,2016-03-05,0.0,1,its informacin is ambiguous,everything,ambigua,,informaciГіn ambigua,,ambiguous,,informaci ambiguous,everything
3771,SFP54,SFP-04-001,0,Sí,"pesimo  piden firma digital y no se dan cuenta que hay gente que no cuenta con una firma digital si ya tienen el curp y otros datos para que ponen que el servicio igual se hace via web cuando obviamente no se puede 
pesimo","pesimo  piden firma digital y no se dan cuenta que hay gente que no cuenta con una firma digital si ya tienen el curp y otros datos para que ponen que el servicio igual se hace via web cuando obviamente no se puede 
pesimo",2016-03-08,0.0,0,"pesimo digital signature and ask not realize that there are people who do not have a digital signature if you already have the curp and other data to get the same service is via web when obviously can not
appalling","pesimo digital signature and ask not realize that there are people who do not have a digital signature if you already have the curp and other data to get the same service is via web when obviously can not
appalling",digital digital igual,digital digital igual,firma digital cuenta gente firma digital datos servicio igual web,firma digital cuenta gente firma digital datos servicio igual web,digital digital appalling,digital digital appalling,pesimo digital signature ask people digital signature CURP data service web appalling,pesimo digital signature ask people digital signature CURP data service web appalling
3776,IMSS210,IMSS-02-066-J,0,Sí,no funciona el servicio en linea,no funciona el servicio en linea,2016-03-08,0.0,1,does not online service,does not online service,,,SERVICIO LINEA,SERVICIO LINEA,ONLINE,ONLINE,ONLINE SERVICE,ONLINE SERVICE
3779,INDESOL638,SEDESOL-01-001,1,No,,todo correcto,2016-03-08,2.0,1,,all right,,correcto,,correcto,,right,,right
3784,SRE113,SRE-03-003,0,No,,todo,2016-03-08,0.0,1,,everything,,,,,,,,everything
3797,SFP54,SFP-04-001,0,Sí,"tienen un pesimo servicio y como mexicana me da verguenza que siempre estamos tan atrasados ni en paises de primer mundo ni con la tecnologia mas avanzada se es capaz de bridar un buen servicio
tenemos mas de un mes tratando de agendar una cita para un poder notarial y ni por telefono ni por es medio que ofrece tan pero tan pobre servicio se logra hacer un tramite tan necesario para los ciudadanos mexicanos que vivimos en eu
es realmente frustrante se llena toda la informacion y en todo el calendario aparece como ocupado y aunque me vaya a meses adelantados o dice ocupado o no te dan opcion de agendar donde esta vacio y no es posible que sean incapazes de realmente ayudar a los ciudadanos y cuando ayudan nos hacen la vida imposible
sera que un dia se podra mejorar por lo menos en los consulados obvio que es un sueno",todo,2016-03-08,0.0,0,"have a lousy service and as mexicana i am ashamed that we are always so backward or even first world countries with the most advanced technology you are able to bridle good service
we have more than a month trying to schedule an appointment for a power of attorney and a telemarketer or it is medium that offers so very poor service manages to make a submission as necessary for mexican citizens living in the us
its really frustrating all information is filled and throughout the calendar appears busy and although i go to months in advance or says busy or do not give you option to schedule which is empty and it is not possible to be incapazes really help citizens and when they help they make our life miserable
will one day be able to improve at least in the consulates obviously its a dream ",everything,pesimo atrasados primer avanzada capaz buen notarial pobre necesario mexicanos frustrante ocupado adelantados ocupado posible imposible Obvio,,pesimo servicio verguenza atrasados paises primer mundo tecnologia avanzada capaz buen servicio mes cita poder notarial telefono pobre servicio tramite necesario ciudadanos mexicanos frustrante informacion calendario ocupado meses adelantados ocupado opcion vacio posible incapazes ciudadanos vida imposible dia Obvio sueno,,lousy first advanced able good poor necessary Mexican frustrating busy busy empty possible miserable able,,lousy service Mexicana first world countries advanced technology able bridle good service month schedule appointment power attorney telemarketer medium poor service submission necessary Mexican citizens US frustrating information calendar busy months advance busy option schedule empty possible incapazes citizens life miserable day able consulates dream,EVERYTHING
3732,SEP67,SEP-01-027-A,0,Sí,todo,todo,2016-03-08,0.0,1,everything,everything,,,,,,,everything,everything
3793,STPS585,STPS-04-003,0,Sí,donde estan los formatos dc dc  etc,si van a promover un servicio incorporen toda la informacin necesaria por supuesto incluyendo formatoses un lio conseguirlos,2016-03-09,0.0,1,where are the dc formats dc etc,if you will promote service incorporated all informaci   oen necessary including course formats get them  is a mess,,NECESARIA CONSEGUIRLOS,formatos,SERVICIO INFORMACIÐ â€œN NECESARIA SUPUESTO FORMATOS LIO CONSEGUIRLOS,,NECESSARY,DC formats DC,SERVICE INFORMACIÐ â € Oen NECESSARY COURSE FORMATS MESS
