Encuesta,Ficha,Homoclave,1.1 ¿Te parece útil esta información?,1.2 ¿Consideras que falta información?,1.3 ¿Qué información crees que falta?,1.4 ¿Qué podemos mejorar?,Fecha,Sentimiento 1,Sentimiento 2,1.3 Inglés,1.4 Inglés
283,SRE112,SRE-03-002,No,No,,"que se puedan generar las citas en su página web, para todas las delegaciones.",2016-01-19,1,1,,"which can generate quotations on your website, for all delegations."
284,SRE572,SRE-01-020-A,Sí,Sí,No es que falte información solo que la página no te permite hacer la cita y por teléfono se corta la llamada y nunca puedes hacer cita,Que faciliten la forma de hacer las citas ninguna de las dos funciona .. aparenta que si te registras en línea pero nunca accedes he intentado por horas de las dos formas,2016-01-19,0,1,Not only missing information page allows you not quote the phone and cut the call and can never make an appointment,To facilitate the form of make appointments either works .. it seems that if you register online but never tried for hours you come both ways
283,SRE112,SRE-03-002,Sí,Sí,DONDE AGENDAR LA CITA,PONER UN ENLACE DONDE SE PUEDAN HACER LAS CITAS O RUSTICAMENTE UN NUMERO TELEFONICO DONDE SE PUEDA HACER LA CITA,2016-01-19,0,0,WHERE THE APPOINTMENT schedule,Place a link where they can make appointments or rustically A PHONE NUMBER WHERE DO THE APPOINTMENT MAY BE
282,SRE112,SRE-03-002,Sí,No,,"Sería de suma utilidad que pudieran realizar un portal de citas cómo se realizan en el SAT y que el usuario realice su solicitud de hora y fecha desde internet.

Gracias.",2016-01-19,1,1,,"It would be very useful that could make a portal dating how they perform on the SAT and the user makes his request for time and date from the Internet.

Thank you."
283,SRE113,SRE-03-003,Sí,Sí,EN EL ESTADO DE NUEVO LEÓN SOLAMENTE VIENE EL MUNICIPIO DE MONTERREY NO TE DA ALTERNATIVA PARA LAS OFICINAS EN OTROS MUNICIPIOS,MÁS CLARIDAD,2016-01-19,0,0,IN THE STATE OF NUEVO LEON ONLY COMES THE MUNICIPALITY OF MONTERREY GIVES NO ALTERNATIVE FOR OFFICES IN MUNICIPALITIES OTHER,more clearly
284,SFP54,SFP-04-001,No,Sí,no sé en dónde poder ver para sacar una cita para el médico,ser más claros en la página,2016-01-19,1,1,I do not know where to see to make an appointment for the doctor,be clearer on page
287,SRE117,SRE-03-006-A,No,Sí,"Todo el sistema está mal. Falta los formularios del llenado de todos, de la ficha del depósito, del formato del pasaporte. Falta el sistema para agendar citas por internet.","Todo el sistema está mal. Falta los formularios del llenado de todos, de la ficha del depósito, del formato del pasaporte. Falta el sistema para agendar citas por internet.",2016-01-19,0,0,"The whole system is wrong. filling forms all missing the record of the deposit, passport format. appointment scheduling system for missing online.","The whole system is wrong. filling forms all missing the record of the deposit, passport format. appointment scheduling system for missing online."
288,SRE113,SRE-03-003,Sí,No,,No aparece donde hacer la cita,2016-01-19,0,0,,It does not appear where you schedule
284,SEGOB171,SEGOB-05-005,Sí,Sí,La dirección y horario donde los extranjeros deben realizar el trámite de corrección de CURP.,"Incluir la dirección y el horario donde los extranjeros deben realizar el trámite. 
Indicar qué otros documentos están ligados a la CURP, por ejemplo el Número de Seguridad Social del IMSS y el RFC, e indicar qué documento se recibirá una vez corregido el CURP, para poder acudir con éste a hacer las correcciones debidas al IMSS y al SAT.",2016-01-19,1,0,Address and time where foreigners must perform the procedure CURP correction.,"Include the address and hours where foreigners must perform the procedure.
Indicate which documents are linked to the CURP, such as the Social Security Number of the IMSS and RFC, and indicate which document will be received once corrected CURP, to go with it to make corrections due to the IMSS and SAT ."
286,SEDENA35,SEDENA-01-002,Sí,Sí,Horarios de atención del módulo de atención al público del Servicio Militar Nacional,Pongan horarios de atención,2016-01-19,1,1,Opening hours of the service module to the public in the National Military Service,Put business hours
287,ISSSTE878,ISSSTE-06-013-C,Sí,No,,Más módulos de atención,2016-01-19,1,1,,More service modules
289,SRE112,SRE-03-002,Sí,No,,HORARIOS DE ATENCIÓN SABATINO,2016-01-19,1,1,,OPENING HOURS SABATINO
287,SRE113,SRE-03-003,No,Sí,"deberian de poner un listado de los requerimientos completos y los formatos de pago (donde hacerlos, formato a llenar, etc), las indicaciones paso a paso en una sola página y tener toda la información en un mismo sitio y no que me digan una cosa por Teléfono, otra en gob.mx y otra en la página de la sre","quiero renovar mi pasaporte y no puedo encontrar los requisitos. deberian de poner un listado de los requerimientos en una sola página todo junto. primero lo busque en google, donde encuentro renovación de pasaportes, sale una lista que dice 'copias de documentación' y dos fotos, nunca especificando que documentacion ni algún otro documento, aparece un Teléfono en la delegacion para hacer citas, en ese Teléfono la opcion requerimientos de pasaporte me vuelve a mandar a la misma página de la sre (ni siquiera a un enlace directo sino la página principal) donde no encontré nada y me mandan a otro numero general porque en el numero 'hacer citas' irónicamente no se pueden hacer citas, al marcar al número general no me preguntan que deseo o para que llamo y lo primero que hacen es pedir mi correo y curp, (de hecho contestan diciendo, 'gracias por llamar ya tiene su cita confirmada?' que tal seria un 'gracias por llamar al sistema de citas para pasaportes desea hacer una cita, agendar...?'? cita de que? de que hablan? este es el numero para agendar una desde cero?) dos veces intentan terminar la llamada y al pedirle informes al operador me vuelve a mandar a la página de la sre donde no encontré nada y cómo la página no decia que necesito el curp para hacer la cita tengo que colgar y marcar de nuevo al número 01800, ahora con el curp y en ninguna de las dos veces que marcó nadie me da información de los requerimientos, el servicio es pésimo y los operadores les urge colgar, 'donde encuentro los requerimientos?' me responden 'ahi, en la página' 'cual página?', de ahi me mandan a una segunda página, gob.mx en la de gob.mx sale otra lista de requerimientos diferente a la de ser según el operador aparece un formato de pago el cual no está y hasta ahora sigo sin encontrar el formato, la página de la sre me pide 2 fotos y unas copias, la de gob.mx me pide el pasaporte original y un pago, y el operador en la cita me pide dos fotos y un pago, los tres sistemas diferentes. le pregunte al operador si en la confirmación de correo mandan los requisitos y formatos, me dice no e intenta terminar la llamada de nuevo. en ambos casos los operadores no me quisieron ayudar, ni dar información, me dieron la cita donde quisieron cuando quisieron y nunca se me preguntó mi opinión, no se me dio un intento de ayudar, ser útiles, o dar información. pésimo servicio, pero cómo siempre no se puede esperar mucho de este gobierno que parece se esmeran en ver cómo hacer más difícil la vida de la gente todos los dias, espero consideren mi sugerencia y por lo menos pongan toda la información de tramites completa, en un solo sitio, cosa que les cuesta absolutamente nada y seguro les ahorraría quejas y personas preguntando que sigue",2016-01-19,0,0,"should put a list of the full requirements and payment formats (where do format fill, etc), the step-by-step on one page and have all the information in one place and do not they say one thing Telephone, another in gob.mx and one on the page sre","I want to renew my passport and can not meet the requirements. should put a list of requirements on a single page all together. first look at Google, where I find renewal of passports, get a list that says 'copies of documentation' and two photographs, never specifying that the option documentation or any other document, I get a telephone delegation to make appointments, in that phone passport requirements drives me to send the same page sre (even a direct link but the home page) where I found nothing and they send me another general number because the number 'make appointments' ironically not be made Dating to the mark overall numbers do not ask me I want or I call and the first thing they do is ask for my email and CURP, (actually answer saying, 'Thank you for calling and have your confirmed appointment?' that this would be a ' Thank you for calling the appointment system to want passports make an appointment, schedule ...? '? quote that? you talking about? this is the number to schedule one from scratch?) twice trying to end the call and the reports ask to the operator I again send the page sre where I found nothing and how did not say page I need the CURP for an appointment I have to hang up and dial again the number 01800, now with the CURP and neither times marking nobody gives me information requirements, the service is lousy and urges them to hang operators, 'where I meet the requirements?' I answer 'there on the page' 'which page?', hence they send me to a second page, gob.mx in gob.mx out another list of different requirements to be formatted according to the operator appears payment which is not so far and still can not find the format, page sre ask me 2 photos and a few copies of gob.mx asks me the original passport and payment, and the operator on the appointment ask me two photos and a payment of three different systems. I asked the operator if they send email confirmation requirements and formats, it tells me not end the call and try again. In both cases, the operators refused to help me or give information, give me the quote where they wanted when they wanted and never asked my opinion, I was not given an attempt to help, be useful, or give information. Terrible service, but as always you can not expect much from this government that seems to take pains to see how to make life more difficult for people every day, I hope to consider my suggestion and at least put all the information complete paperwork in one place, which costs them nothing and would save insurance complaints and asking people following"
288,SRE113,SRE-03-003,No,Sí,"No me aparece los requisitos necesito para renovar mi pasaporte. 
No viene nada de las fotos y tampoco si necesito copias de algún documento.","Colocando mayor información, la página no dice nada. No sirve.",2016-01-19,0,0,"You do not need me appears to requirements renew my passport.
Nothing comes of the photos and also if I need copies of any document.",Placing further information page says nothing. It does not work.
290,SRE101,SRE-01-019-D,No,Sí,"Falta toda la información del mundo. Por favor regresen al viejo formato. Hace falta mucha información. No puedo conocer cuales son las zonas militares y la información sobre la cartilla militar es parcial, incoherentemente dirigida hacia personas en el exterior, lo cual resulta carente de sentido, ¿qué pasa con los que estamos en México?","Pongan toda la información disponible, no solo de consulados.",2016-01-20,0,1,"all information in the world is missing. Please return to the old format. It takes a lot of information. I can not know what the military zones and military information booklet is partial, incoherently directed to persons abroad, which is meaningless, what about those who are in Mexico?","Put all available information, not only consulates."
290,SRE112,SRE-03-002,Sí,No,,PODER REALIZAR EL TRÁMITE POR INTERNET O SI EXISTE ESTE MEDIO PONER información SOBRE cómo REALIZARLO,2016-01-20,0,1,,STEP TO MAKE INTERNET OR IF THERE IS HEREBY PUT information on how to do
293,SRE112,SRE-03-002,No,Sí,Los municipios restantes de Puebla,Agregar los municipios restantes y sugerir por lo menos 2 oficinas cercanas aunque sean de otro estado,2016-01-20,1,1,The remaining municipalities of Puebla,Add the remaining municipalities and suggest at least 2 nearby offices even if they are from another state
294,INM811,INM-03-009-A,Sí,Sí,derechos para visa de estudiante (creo que no hay que pagar nada por el canje pero debería de decirlo en algún lugar.,"No queda claro cuál es la diferencia entre:

Formato básico debidamente llenado

y 

Formato para solicitar trámite migratorio de estancia, llenado de manera electrónica a través de la página de internet (www.gob.mx) con firma autógrafa del promovente",2016-01-20,1,1,rights for student visa (I think not to pay anything for the exchange but should put it somewhere.,"It is unclear what is the difference between:

duly completed basic format

and

Pending immigration form to request stay, filled electronically through the website (www.gob.mx) with handwritten signature of the petitioner"
292,CFE194,CFE-00-020,No,Sí,"toda tanto requisito de correo electrónico, que Teléfono fijo para un simple recibo",,2016-01-20,0,0,"Therefore all email requirement, which Landline for a simple receipt",
296,SRE113,SRE-03-003,No,Sí,El teléfono de la delegación,Que se pueda hacer la cita por internet,2016-01-20,1,0,Phone delegation,You can make an appointment online
293,SRE117,SRE-03-006-A,No,Sí,SIEMPRE TE PIDEN MILES DE COPIAS Y AQUÍ NO VIENE NINGUNA,"ANTES SE PODÍA USAR EL PASAPORTE ANTERIOR????
PÉSIMA SU página NUEVA, SI HAY DESPISTADOS Y NO LE PICAN A LA PESTAÑA ????",2016-01-20,0,0,ALWAYS ASK YOU THOUSANDS OF COPIES AND HERE COMES NO NO,"BEFORE you could use the old passport ????
Pesima your new page, IF NOT PICAN Despistados AND THE TAB ????"
298,INM820,INM-03-009-D,Sí,Sí,Saber si la Renovación de tarjeta de residencia temporal de estudiante es gratuita,Especificar datos sobre residencias de estudiante,2016-01-20,1,0,Renewal whether temporary residence permit student is free,Specific data on student residences
296,SRE113,SRE-03-003,Sí,Sí,Si se puede renovar el pasaporte faltando dos días para expirar,La información,2016-01-20,1,0,If you can renew the passport missing two days to expire,Information
297,SRE112,SRE-03-002,Sí,Sí,nada,"Registro de cita en línea, pago en línea,",2016-01-20,1,0,nothing,"Registration appointment online, online payment,"
299,STPS582,STPS-04-002,No,Sí,"El nuevo formato. Acuerdo por el que se modifican los formatos DC-4 y DC-5 del Acuerdo por el que se dan a conocer los criterios administrativos, requisitos y formatos para realizar los trámites y solicitar los servicios en materia de capacitación, adiestramiento y productividad de los trabajadores, publicado el 14 de junio de 2013",Insertar el formato,2016-01-20,0,1,"The new format. Agreement establishing the DC-4 and DC-5 formats of the agreement that are disclosed administrative criteria, requirements and formats for the paperwork and apply for services in training, training and worker productivity are modified , published on June 14, 2013",Insert format
298,SEGOB171,SEGOB-05-005,Sí,No,,Me dice que el trámite es inmediato para mexicanos pero para un mexicano naturalizado tarde hasta dos semanas. Eso es racista contra ciertos mexicanos y hace que se sientan cómo de segundo grado. Mi sugerencia es que se debe tratar igual a todos los mexicanos.,2016-01-20,0,0,,I said that the procedure is immediate for Mexicans but for a naturalized Mexican take up to two weeks. That is racist against Mexicans true and makes them feel like second grade. My suggestion is that you should treat equally all Mexicans.
300,SRE113,SRE-03-003,No,Sí,que no se cancelan citas y no se puede reprogramar,agilizar trámite y poder cancelar y cambiar de sede,2016-01-20,0,0,no appointments are canceled and can not be reprogrammed,streamline process and cancel and change of venue
300,SRE260,SRE-01-033,Sí,Sí,Incluir cuales son los documentos necesarios para la solicitud de la visa de residencia temporal.,Información y contacto,2016-01-20,3,3,Include which documents are required for visa application for temporary residence.,Information and contact
301,SRE144,SRE-03-007-A,No,Sí,Que la opción para la cita por internet este visible y los enlaces funcionen. encontré una primera vez la opción para registrarse y hacer el trámite pero quedó inconcluso y ahora no sé donde ingresar,Poner la opción para la cita visible. el portal anterior estaba mucho más fácil de manejar. Falta actualizar los módulos de atención en Guadalajara,2016-01-20,1,0,The option for appointment online this visible and functioning links. I found a first option to register and make the process but was never finished and now do not know where to enter,Put the visible option for appointment. the previous website was much easier to handle. Lack update service modules in Guadalajara
301,SRE112,SRE-03-002,No,Sí,"un link para hacer cita para el trámite de pasaporte mexicano, ya que el teléfono que ponen nunca funciona, ni el menu, ni nada. pesimo servicio, lo requiere de emergencia y no va a poder ser así.","regresar la página a cómo estaba antes en la cual tu accesabas una cuenta y podias agendar cita por este medio, sin necesidad de llamar al Teléfono que jamás funciona.",2016-01-20,0,0,"a link to make an appointment for processing Mexican passport, since they put the phone never works, nor the menu or anything. Terrible service, required emergency and not be able to be.",page back to how it was before in which your accesabas an account and schedule an appointment Podias hereby without the phone call that never works.
298,SRE113,SRE-03-003,No,Sí,"en la página de SRE:
http://consulmex.sre.gob.mx/eaglepass/index.php/pasaporte

donde hay que dar click para hacer la cita me manda a una página de anuncios

dice eyaculacion precoz .... y demás anuncios

es una broma????

que porqueria de atención",lo dicho anteriormente,2016-01-20,0,0,"on page SRE:
http://consulmex.sre.gob.mx/eaglepass/index.php/pasaporte

where you have to click to make the appointment sends me to a page of ads

says premature ejaculation and other ads ....

it's a joke????

that porqueria care",I said above
300,SRE113,SRE-03-003,No,Sí,¡¡¿Cómo obtengo la ficha para hacer el pago del pasaporte?!!,"Es extremadamente difícil encontrar el trámite de citas por internet, deberían de hacerlo mucho más fácil. Su página está horrible, confusa, y siempre regresa al mismo sitio. Muy fastidiosa de navegar. ¡Qué vergüenza!",2016-01-20,0,0,'How do I get the card to make payment of the passport? !!,"It is extremely difficult to find the online dating process, they should make it much easier. Your page is horrible, confusing, and always returns to the same place. Very annoying to navigate. What a shame!"
302,SRE112,SRE-03-002,Sí,Sí,"PONER EL LINK PARA LA HOJA DE PAGO 
COLOCAR EN LA página EL NUMERO TELEFÓNICO PARA SACAR LA CITA",LO ANTES MENCIONADO,2016-01-20,0,1,"PUT THE LINK FOR payslip
Move page TELEPHONE NUMBER TO GET QUOTE",THE AFOREMENTIONED
302,SRE113,SRE-03-003,Sí,Sí,No especifica donde hay que realizar los pagos,información sobre pagos,2016-01-20,1,1,It does not specify where to make payments,payment information
303,SRE113,SRE-03-003,No,Sí,"que especifiquen los posibles documentos a necesitar para la renovación en caso que la dependencia lo solicite así no dar 2 o 3 vueltas por el mismo trámite, y si se requiere fotografías ya que tampoco lo mencionan.",Que en los teléfonos de asistencia contesten.,2016-01-20,1,0,"documents specifying the possible need for renewal in the event that reliance upon request and not give 2 or 3 laps by the same procedure, and if photographs are required since no mention.",That answer phones assistance.
305,SRE112,SRE-03-002,No,Sí,"La página es muy confusa, es muy complicado encontrar cómo hacer la cita y solo se puede hacer telefónicamente, antes era más fácil; la página de trámite de pasaporte te da muchas vueltas a lo mismo sin ayudar.",La estructura de la página y la forma para informar cómo tramitar tu cita.,2016-01-20,0,0,"The page is very confusing, it is very difficult to find how to make the appointment and can only be done by telephone, before it was easier; processing the passport page gives you a lot of laps to the same without help.",The structure of the page and how to inform how to arrange your appointment.
306,SRE112,SRE-03-002,No,No,,"No te da la liga para poder generar tu pago de pasaporte, hay que buscar en otro lado y página. Terrible servicio.",2016-01-20,0,1,,"It does not give you the league to generate your pay passport, look elsewhere and page. Terrible service."
301,SEP71,SEP-01-031-A,Sí,Sí,"Por el concepto del cambio del costo de los derechos del trámite, cómo se realizaría el pago del ajuste (excedente) de dicha cuota.",Dar la información o la ficha necesaria para el pago del faltante de la cuota del pago de derechos.,2016-01-20,1,0,"The concept of changing the cost of the rights of the processing, and payment of the adjustment would be made (surplus) of that quota.",Give the information or record required for payment of the missing fee paying royalties.
304,SRE112,SRE-03-002,No,Sí,"QUE PUEDA TRAMITAR MI CITA EN LINEA PARA QUE ASI CUANDO VAYA A SECRETARIA DE RELACIONES EXTERIORES EN XALAPA NO ME DEN UN MISERABLE TRÍPTICO EL CUAL ME DICE QUE SOLO SE PUEDE HACER EN LÍNEA O CON LLAMADA, Y QUE LAS OPERADORAS ESTÁN OCUPADAS! SOLO ESOOO",TODO,2016-01-20,0,0,"YOU CAN ARRANGE MY ONLINE APPOINTMENT TO GO WELL WHEN A FOREIGN SECRETARY Xalapa NOT ME DEN A MISERABLE TRÍPTICO ME WHICH SAYS THAT CAN ONLY ONLINE OR CALL, AND OPERATORS are busy! ONLY esooo",EVERYTHING
308,SRE112,SRE-03-002,No,Sí,"QUE PUEDA TRAMITAR MI CITA EN LINEA PARA QUE ASI CUANDO VAYA A SECRETARIA DE RELACIONES EXTERIORES EN XALAPA NO ME DEN UN MISERABLE TRÍPTICO EL CUAL ME DICE QUE SOLO SE PUEDE HACER EN LÍNEA O CON LLAMADA, Y QUE LAS OPERADORAS ESTÁN OCUPADAS! SOLO ESOOO",TODO,2016-01-20,0,0,"YOU CAN ARRANGE MY ONLINE APPOINTMENT TO GO WELL WHEN A FOREIGN SECRETARY Xalapa NOT ME DEN A MISERABLE TRÍPTICO ME WHICH SAYS THAT CAN ONLY ONLINE OR CALL, AND OPERATORS are busy! ONLY esooo",EVERYTHING
305,SRE117,SRE-03-006-A,No,Sí,"Al hacer el trámite de mi hijo de dos años lleve la constancia médica con fotografía según las especificaciones que señalan en el apartado. Sin embargo, estaba mal y me comentan que en la página hay un archivo (cómo ejemplo) para realizar esta constancia, la cual evidentemente me hubiera ayudado mucho para llevarla correctamente. Pero, dónde está este ejemplo????","Pues que lo publique o que en este apartado está la liga o señalen claramente donde se puede obtener este ejemplo, porque yo no lo encuentro en ningun lado.",2016-01-20,,0,"In the process of doing my two year old son take the medical record photo according to the specifications listed in paragraph. However, I was wrong and I say that on the page there is a file (for example) to make this record, which obviously would have helped me a lot to take it correctly. But where is this example ????","Well you publish or in this paragraph is the league or clearly indicate where you can get this example, because I can not find it anywhere."
309,SFP54,SFP-04-001,No,Sí,es urgente la agendación de citas por internet,Mi línea no logra contactar el servicio de relaciones exteriores siempre marca ocupado y por medio de celular si se puede.,2016-01-20,,1,It is urgent agenda preparation of internet dating,My line fails to contact the foreign service brand always busy and by phone if you can.
304,SRE113,SRE-03-003,No,Sí,"Pongan los municipios donde se pueda realizar el trámite pues en su ""excelente"" página solo da la opción de Xalapa","Anotando también los otros municipios donde se pueda realizar el trámite.
cómo verán he descubierto el hilo negro",2016-01-20,,1,"Put the municipalities where it can make the process as its ""excellent"" single page gives you the option of Xalapa","Also note the other municipalities can perform the procedure.
You see how I discovered the black thread"
310,SEDENA36,SEDENA-01-007,Sí,Sí,Pues yo no puedo tramitar mi cartilla por que soy de san luis Potosí y vivo en queretaro. Y aquí en queretaro solo me dicen que la tengo que tramitar en mi estado y pues yo solo nací allá pero tengo toda mi vida en querétaro. Ai cómo le podria aser,Solo que se pueda hacer el trámite dónde vives y no dónde naciste,2016-01-21,,0,"Well, I can not process my book because I'm from San Luis Potosi and Queretaro live. And here in Queretaro just tell me that I have to deal with in my state and myself because I was born there but my whole life in querétaro. Ai how he could Aser",Only you can make the process where you live and not where you were born
302,SRE159,SRE-03-015,Sí,No,,quiero pagar mi pasaporte cómo le ago,2016-01-21,,1,,I want to pay my passport as you ago
305,SFP54,SFP-04-001,Sí,Sí,formato de pago de pasaporte en página de internet,"Poder imprimir el formato para pago de pasaporte y poder llenarlo en casa y acudir al banco a pagar.
Se me hace una falta de sentido común que no se pueda acceder a él en la página",2016-01-21,,0,payment format passport website,"You can print the form for payment of passport and fill it at home and to go to the bank to pay.
I find it a lack of common sense that you can not access it on the page"
306,SEDENA36,SEDENA-01-007,Sí,Sí,el tiempo que duran en liberarlas,Durar menos tiempo en liberar cartillas,2016-01-21,,1,how long they last in releasing them,Take less time to free booklets
306,SFP54,SFP-04-001,No,Sí,"con todo respeto pero a la Sria. Ruiz Massieu pero está página y todo su contenido es una astilla en el culo debido a lo complicado que es tener una cita por internet, y si está inhabilitado entonces desactivan todas las ligas del coño y no hagan perder tiempo... antes era mucho más sencillo ahora sacar un bendito pasaporte lo quieren hacer igual que una visa gringa","sean simples y si quieren ""mejorar"" su seguridad simplifiquen y no la hagan una pérdida de tiempo",2016-01-21,,0,"but with all due respect to the REIS. Ruiz Massieu but this page and all its contents is a splinter in the ass because of how complicated it is to have an appointment online, and if you are disabled then disable all leagues pussy and do not do waste time ... before it was much more simple now take a passport blessed want to do it like a gringa visa","They are simple and if they want to ""improve"" their security and simplify not make it a waste of time"
314,IMPI88,IMPI-01-001,Sí,Sí,El procedimiento de registro de marca en línea,Agregar la información sobre el registro de marca en línea,2016-01-21,,1,The procedure for trademark registration online,Add information about trademark registration online
307,IMSS141,IMSS-03-011,Sí,No,,Agendar la cita ´por internet cómo se hacía.,2016-01-21,,1,,'Por schedule the appointment internet as they did.
305,SRE113,SRE-03-003,No,Sí,No tienen el acceso a citas por Internet. El lapso entre el momento en que se pide una cita por teléfono y la fecha asignada es muy largo. Resulta increíble que el sistema funcione peor que antes. ¡Muy mal!,¡Vuelvan a poner las citas por Internet!,2016-01-21,,0,They do not have access to Internet dating. The period between the time an appointment is requested by phone and the assigned date is too long. It is incredible that the system works worse than before. Very bad!,Comeback to put internet dating!
309,SRE112,SRE-03-002,No,Sí,"no encontre donde hacer la cita para mi pasaporte por vía internet. El año pasado lo hice vía internet y fue muy fácil. 
Ahora no hay ninguna enlace que me lleve a esa opción.","Que haya una opción donde pueda entrar para hacer mi cita en internet.
Mi correo es deisynajeracancun@gmail.com, me pueden escribir para mostrarme la opción para hacer mi cita vía internet, por favor.",2016-01-21,,0,"I did not find where to make the appointment for my passport via internet. Last year I did via internet and it was very easy.
Now there is no link me to take that option.","There is an option where you can come to my appointment on the internet.
My email is deisynajeracancun@gmail.com, I can write to show me the option to make my appointment via internet, please."
309,STPS582,STPS-04-002,No,Sí,no dan información del portal de captura ó si ya lo quitaron,más información para la captura de trabajadores en el portal,2016-01-21,,1,do not give information portal capture or if you already removed,more information to catch workers in the portal
310,ISSSTE565,ISSSTE-05-005-A,Sí,Sí,"1. En Documento Requerido dice: ""Tratándose de la corrección del nombre: Copa<--- Dice Copa.""
2. El trámite dice: ""Corrección de nombre del derechohabiente del ISSSTE"". Si se pretende hacer por internet, tener la opción de hacerlo, ya que solo es información donde de todos modos hay que ir a hacerlo ""de manera presencial"", entonces solo es una página de información, no de trámite.","¿Que propongo?:
Mediante una página de datos, presentar los datos actuales y en un segundo apartado solicitar los datos que se van a cambiar. Inclusive solicitar copia escaneada del documento probatorio para el cambio.
Ese sí sería una corrección de datos, yo pretendo cambiar la dirección porque cambia de localidad (ya que rento) y por el trabajo casi no tengo tiempo para ir a hacerlo de manera presencial. Incluso solo cambié mi credencial y ahí está mi dirección, no tengo otro comprobante.
Atentamente: aguazul2000@hotmail.com",2016-01-21,,0,"1. Required document says: ""In the case of the correction of the name: Copa <--- Dice Cup.""
2. The procedure says: ""Correcting name of the beneficiary of the ISSSTE"". If you intend to do online, have the option to do so, because it is only information where there anyway to go to do ""in person"" then it is only one page of information, not procedural.","What I propose ?:
Using a data page, present current data and a second section request the data to be changed. Even apply scanned copy of the documentary evidence for change.
That itself would be a correction of data, I intend to change direction because it changes location (since rento) and the work I have almost no time to go do it in person. Even just changed my credential and there's my address, I have no other proof.
Sincerely, aguazul2000@hotmail.com"
307,SEDENA36,SEDENA-01-007,Sí,No,,"Habilitar un servicio de envió entre cuarteles militares, ya que hay personas que no podemos realizar un viaje extenso hasta el municipio en el que nacimos.",2016-01-21,,0,,"Enable service sent from military barracks, as there are people we can not make an extended trip to the municipality in which we were born."
311,STPS585,STPS-04-003,Sí,Sí,el formato descargable DC-5,Tener acceso al formato de solicitud en esta página,2016-01-21,,1,downloadable format DC-5,Access the application form on this page
308,SEMARNAT290,SEMARNAT-07-029,No,Sí,"Con todas estas modificaciones, es dificil encontrar la información, tanto técnica cómo el marco juridico.","Hacer accesible el marco jurídico y demas información, con los nuevos portales se hace inaccesible a la información.",2016-01-21,,1,"With all these changes, it is difficult to find both technical information and the legal framework.","You make accessible the legal framework and other information, with new portals becomes inaccessible to information."
309,SEGOB171,SEGOB-05-005,Sí,No,,tener más oficinas en diferentes puntos del df para poder solicitar correcciones o que se pueda solicitar por Internet.,2016-01-21,,1,,have more offices in different parts of the df to request corrections or you can apply online.
311,IMSS594,IMSS-02-002-C,Sí,Sí,"No mencionan, cual es la autoridad laboral competente, situación que da la pauta al patrón para que no quiera presentar su convenio de Sustitución patronal.","En este trámite, el formato Aviso de Inscripción Patronal o de Modificación en su Registro, no da la opción para descargarlo.",2016-01-21,,0,"No mention, which is the competent labor authority, a situation that sets the tone for the employer to not want to present your employer substitution agreement.","In this procedure, the format Patronal Enrollment Notice or change in your registry, does not give the option to download it."
310,STPS585,STPS-04-003,No,Sí,"el formato DC 5
Dónde está?",Colocar anexo a la información los formatos requeridos en archivos .pdf o word para acceder a ellos,2016-01-21,,1,"the DC 5 format
Where is?",Place annex to the formats required information in .pdf or Word files to access them
316,SRE113,SRE-03-003,Sí,Sí,primero falta el tel. y si uno les habla no contestan,que pongan el tel. y que contesten,2016-01-21,,1,first missing tel. and if one speaks not answer,to put tel. and answer
311,SEDENA38,SEDENA-01-009,No,Sí,"costos
Para generar la línea de captura del pago correspondiente ingresa a la siguiente liga.",al dar clik en la liga te regresa a la página principal,2016-01-21,,1,"costs
To generate the line capture the payment enters the next league.",to giving clik in the league will return to the home page
317,AFSEDF842,AFSEDF-01-014,No,Sí,"DEBEN COLOCAR LINKS DIRECTOS PARA INSCRIPCIÓN A PRIMARIAS, SECUNDARIAS....Uno se pierde entre tantos apartados seán más prácticos por favor.","MUY MALA ORGANIZACION DE LOS TRÁMITES.

Si uno necesita realizar un trámite, los menos que pueden hacer es: DEJAR EL LINK DEL TRÁMITE AHÍ MISMO...Por favor.",2016-01-21,0,0,"LINKS TO ATTACH TO REGISTRATION primary, secondary .... One is lost among many sections more practical please.","VERY BAD ORGANIZATION OF THE PAPERWORK.

If you need to perform a procedure, the least they can do is: LEAVE THE LINK TO STEP RIGHT THERE ... please."
313,SRE112,SRE-03-002,Sí,Sí,Dónde se debe realizar el pago.,La página.,2016-01-21,1,1,Where to make the payment.,The page.
314,SRE113,SRE-03-003,No,Sí,poner los requisitos y el formato de pago.,poner el numero de telefonico de la SRE de cada entidad.,2016-01-21,,1,put the requirements and the payment format.,put the telephone number of the SRE of each entity.
314,SRE112,SRE-03-002,No,Sí,fui a tramitarlo personalmente y me dijeron que saque mi cita por internet en esta página y no veo donde,claridad y precisión en la información para programar mi cita,2016-01-21,,1,I went to process it personally and told me to pull my appointment online on this page and do not see where,clear and precise information to schedule my appointment
315,SRE144,SRE-03-007-A,Sí,No,,"CITAS EN LÍNEA. ¿POR QUE LAS QUITARON? ERAN UNA OPCIÓN FÁCIL DE USAR, TRANSPARENTE Y DISPONIBLE 24 HRS.",2016-01-21,,1,,"ONLINE DATING. WHY THE they REMOVED? It was an easy option TO USE, TRANSPARENT AND AVAILABLE 24 HRS."
