Ficha,Homoclave
INAES1468,SEDESOL-30-003-E
CNBV4080,CNBV-14-018
SE1884,SE-06-035
CNBV4075,CNBV-14-017
INEHRM2168,INEHRM-00-002
INAES1457,SEDESOL-30-002-D
CNH1891,CNH-02-006
CNBV4081,CNBV-14-020
INEHRM2174,INEHRM-00-003
PGR939,PGR-03-002
CNBV4079,CNBV-14-034
SEMARNAT919,SEMARNAT-03-010
SCT1339,SCT-02-025-B
CNBV4084,CNBV-14-041
SEGOB2023,SGOB-03-001-D
SEMARNAT1181,SEMARNAT-03-011
SEMARNAT1951,SEMARNAT-04-008
SAGARPA1476,SAGARPA-04-009
408951,SEP-23-012
CNSF3825,CNSF-12-048
SCT1393,SCT-02-141-E
CNBV4085,CNBV-14-042
SEDENA1748,SEDENA-02-024
CNBV4087,CNBV-14-045
SCT1394,SCT-02-141-F
INM794,INM-03-002-E
SEDENA2369,SEDENA-02-044
SEGOB2025,SGOB-03-014-A
CNBV4088,CNBV-14-046
SAGARPA1475,SAGARPA-04-008
CNSF3498,CNSF-12-023
SEDENA1749,SEDENA-02-025
SCT1086,SCT-02-171-A
STPS1985,STPS-05-061
SHCP1928,SHCP-02-122
CONAPESCA2688,CONAPESCA-01-042-P
SCT2032,SCT-02-146-M
CNBV4089,CNBV-14-047
SHCP1932,SHCP-02-125
SEDENA1751,SEDENA-02-026
SEMARNAT1183,SEMARNAT-03-014
SEDENA1767,SEDENA-02-027
CONAPESCA2479,CONAPESCA-01-042-E
SCT1459,SCT-03-003-A
ASA1422,ASA-00-001-E
SCT2091,SCT-04-039
Entidades5263,RC-006-01
SCT1389,SCT-02-141-D
ASA1420,ASA-00-004-A
SCT2049,SCT-04-031-A
SCT2055,SCT-04-074
SCT2004,SCT-02-146-H
CNBV4090,CNBV-14-048
SEDENA2022,SEDENA-02-037
SCT1106,SCT-03-028-B
SCT1102,SCT-03-037-B
SEDENA2625,SEDENA-02-050
SCT1695,SCT-02-146-C
COFEPRIS726,COFEPRIS-01-016
SCT1441,SCT-03-003-B
SEDESOL323,SEDESOL-29-004
INALI1407,INALI-00-001
SE2686,SE-10-001
CNBV4092,CNBV-14-049
CONAPESCA2697,CONAPESCA-01-047
COFEPRIS664,COFEPRIS-01-002-B
CNBV4101,CNBV-14-050
INIFAP1756,INIFAP-00-001-B
SAGARPA1478,SAGARPA-04-032
SAGARPA1194,SAGARPA-02-009
CONAPESCA2698,CONAPESCA-01-049
SE2685,SE-10-003
SEGOB1523,SGOB-01-016-C
CNBV4094,CNBV-16-005
SCT1696,SCT-02-146-E
CNSF3792,CNSF-12-049-B
408586,SEP-23-010
CNBV4096,CNBV-16-006
SEGOB171,SEGOB-05-005
CDI1997,CDI-04-010-C
CONAPESCA2700,CONAPESCA-01-045
CNBV4098,CNBV-16-008
CNBV3190,CNBV-12-001-G
CNSNS3775,CNSN-00-016-H
Entidades5266,IRC-003-01
APITOPO5034,APITOPO-00-001
INEA3264,INEA-01-001-B
COFEPRIS704,COFEPRIS-01-015-C
CNBV4100,CNBV-16-009
CNBV3213,CNBV-12-012-A
SEDENA1499,SEDENA-02-013
COFEPRIS722,COFEPRIS-01-015-D
CNBV4102,CNBV-16-010
SCT2035,SCT-02-146-P
SHCP1542,SHCP-02-082
CNSF4053,CNSF-13-014
SEMARNAT253,SEMARNAT-03-061-A
CONAPESCA2480,CONAPESCA-01-042-F
Entidades5267,IRC-002-01
PR77,PRESIDENCIA-00-001
SHCP1545,SHCP-02-094
CONAPESCA2307,CONAPESCA-01-027
SCT1143,SCT-02-146-V
CNBV4114,CNBV-23-064
CNBV4099,CNBV-23-065
COFEPRIS908,COFEPRIS-03-006-B
CICC1971,CICC-00-001-B
CNBV4104,CNBV-16-016
SCT2545,SCT-03-036
COFEPRIS684,COFEPRIS-01-002-C
COFEPRIS224,COFEPRIS-01-023
COFEPRIS741,COFEPRIS-03-008
SCT1377,SCT-02-141-B
COFEPRIS737,COFEPRIS-02-004
CNBV4105,CNBV-17-001-A
PA2613,PA-02-003
CNBV4107,CNBV-17-002-A
IMSS588,IMSS-02-001-D
SCT1100,SCT-03-028-A
CNBV4108,CNBV-17-002-B
IMSS600,IMSS-02-028-A
SEGOB2758,SGOB-07-002
LICONSA1472,LICONSA-01-003
CRE2134,CRE-03-006
CNBV4109,CNBV-17-002-C
STPS882,STPS-05-059
SCT2508,SCT-02-186-G
CNSF3824,CNSF-12-047
COFEPRIS692,COFEPRIS-01-010-C
SCT1396,SCT-02-167-A
SCT1463,SCT-06-009-B
SCT1866,SCT-04-019
SE1878,SE-06-024
SAGARPA1720,SAGARPA-16-001-E
SE2684,SE-10-005-A
SCT1698,SCT-02-146-G
COFEPRIS693,COFEPRIS-01-010-D
SCT1376,SCT-02-141-A
Entidades5268,PGJ-004-01
SCT1704,SCT-03-012-A
COFEPRIS729,COFEPRIS-01-021-B
180675,SEP-11-009
SE1391,SE-05-002-B
Entidades5269,RC-006-02
INDAABIN1566,INDAABIN-02-001
CNBV4111,CNBV-23-056-A
SRE1629,SRE-02-011-I
INDAABIN1560,INDAABIN-00-005
INEA3263,INEA-01-001-A
STPS1977,STPS-05-057
CNBV4112,CNBV-23-056-B
SAGARPA1721,SAGARPA-16-002-D
SE2683,SE-10-005-B
CNBV4128,CNBV-23-060-D
CONAPESCA2293,CONAPESCA-01-009
Entidades5264,IRC-003-02
SEMARNAT1184,SEMARNAT-03-025
SE2682,SE-10-005-C
PROFECO357,PROFECO-00-012
SEMARNAT246,SEMARNAT-03-020-A
ISSSTE480,ISSSTE-05-008-E
SRE1594,SRE-02-011-G
SAGARPA1580,SAGARPA-09-007-A
SESNSP1630,SESNSP-00-001-D
COFEPRIS740,COFEPRIS-02-008
COFEPRIS768,COFEPRIS-03-013
SESNSP1627,SESNSP-00-001-B
PROFECO1947,PROFECO-00-022-A
CONACULTA3066,CONACULTA-02-002-A
CNBV4113,CNBV-23-060-A
INADEM3268,INADEM-00-003
SE1882,SE-06-029
APIGAY3828,APIGAY-03-004
CNBV4126,CNBV-23-060-C
COFEPRIS732,COFEPRIS-01-021-E
CONAPESCA2486,CONAPESCA-01-042-K
SCT2535,SCT-03-004-B
CNBV4129,CNBV-23-060-E
SCT1693,SCT-02-146-AF
SE1883,SE-06-034
IMPI3175,IMPI-01-012
SE2843,SE-10-023
SCT1697,SCT-02-146-F
IMPI3178,IMPI-01-015
SCT1694,SCT-02-146-B
PRS2904,PRS-00-012-C
SCT1794,SCT-02-156-B
CNP3276,PROSPERA-00-023
SCT1803,SCT-02-156-L
SCT1656,SCT-02-096-C
CNBV4097,CNBV-23-066
SE1584,SE-04-001
SE2681,SE-10-005-D
SE2778,SE-10-019
CNSF4050,CNSF-13-005
SENASICA1772,SENASICA-01-045
COFEPRIS733,COFEPRIS-01-021-F
CONAPESCA2295,CONAPESCA-01-011
IMCINE3098,IMCINE-02-004
CNBV4095,CNBV-23-067
SCT1793,SCT-02-156-A
COFEPRIS736,COFEPRIS-01-021-J
COFEPRIS264,COFEPRIS-06-023
IMSS401,IMSS-02-096
SCT1827,SCT-02-158-E
COFEPRIS744,COFEPRIS-03-012
CNSF4593,CNSF-13-052-A
IMSS207,IMSS-03-010
CNBV4093,CNBV-26-001
SCT1840,SCT-03-040-A
SCT1836,SCT-03-026-A
TELECOMM1825,TELECOMM-04-001
SAT2318,SAT-03-017
SE2679,SE-10-006
INAPAM2007,INAPAM-02-001
SEP1865,SEP-08-033-B
Entidades5317,OAX-ICD-03
SEDATU969,SEDATU-02-003
SCT1699,SCT-03-008-A
SE1588,SE-04-002
SAT3621,SAT-03-004
CNH3990,CNH-00-018-B
SCT1797,SCT-02-156-E
SE2675,SE-10-007
IMSS473,IMSS-02-070
SEDENA2008,SEDENA-02-040
CNSF3285,CNSF-12-002-A
SEDENA1769,SEDENA-02-028
LOTENAL3301,LOTENAL-05-002
ISSFAM3185,ISSFAM-00-001-C
SEDESOL1790,SEDESOL-10-031-C
SE2750,SE-04-005
CNSF4038,CNSF-12-050-A
SAGARPA2010,SAGARPA-16-006-A
CNSF3279,CNSF-12-001-C
SECTUR3028,SECTUR-05-004
ISSFAM3187,ISSFAM-00-002-B
SCT1706,SCT-03-013-A
CONAPESCA309,CONAPESCA-01-026
CNSF4052,CNSF-13-013
SAT137,SAT-07-007
SCT2445,SCT-02-184-B
IMSS475,IMSS-02-072
SCT1834,SCT-02-158-J
PROFECO4069,PROFECO-03-003
SE2393,SE-09-026-A
SEMARNAT1735,SEMARNAT-04-005
SEMAR1056,SEMAR-00-003
INAES1467,SEDESOL-30-003-D
SCT1839,SCT-03-039-B
SCT1800,SCT-02-156-I
SCT1820,SCT-02-158-C
SEMARNAT261,SEMARNAT-05-002
SCT2006,SCT-02-146-J
SE2985,SE-04-007
CNSF3281,CNSF-12-001-E
CNSF3284,CNSF-12-001-G
SAT3633,SAT-03-011
SEDENA2009,SEDENA-02-038
SCT1816,SCT-04-024
SCT1700,SCT-03-009
INDAUTOR2371,INDAUTOR-00-022
INADEM1649,INADEM-00-024-B
TELECOMM1821,TELECOMM-02-006
LOTENAL3300,LOTENAL-05-001
SCT1801,SCT-02-156-J
IMER1894,IMER-01-001
SCT1835,SCT-02-159-A
CNSF3286,CNSF-12-002-B
SCT1103,SCT-03-037-A
SECTUR3109,SECTUR-05-006
SE1274,SE-03-036-B
SEDENA1233,SEDENA-02-002
IMSS424,IMSS-01-031
CONSAR3642,CONSAR-01-023
CNSF4039,CNSF-12-050-B
CONAPESCA2489,CONAPESCA-01-042-N
CONAPESCA2483,CONAPESCA-01-042-I
SAT3615,SAT-03-003
AFSEDF843,AFSEDF-04-005
SE707,SE-03-073
ISSSTE569,ISSSTE-05-006-C
CONAFE2366,CONAFE-00-010-B
PRODECON2636,PRODECON-01-001
Entidades5319,OAX-CBI-05
SEDENA2013,SEDENA-02-035
ISSSTE565,ISSSTE-05-005-A
CNSF4040,CNSF-12-050-C
SAT2229,SAT-04-012
SEGOB2220,SGOB-04-008
ISSSTE570,ISSSTE-05-006-D
SEDENA1774,SEDENA-02-031
CRE1973,CRE-06-004-A
SCT489,SCT-02-185
IMSS410,IMSS-01-015
IMSS161,IMSS-01-016
SCT2203,SCT-02-159-B
SE1879,SE-06-025
IMER1900,IMER-01-004
SCT2210,SCT-02-166
SCT2204,SCT-02-159-C
SEGOB1785,SGOB-01-038
SEGOB1782,SGOB-01-035
SEMARNAT1185,SEMARNAT-03-027
SCT2206,SCT-02-159-D
SAGARPA2495,SAGARPA-16-012-C
CNSF4041,CNSF-12-051
SHCP1765,SHCP-02-116
SEGOB1784,SGOB-01-037
SEGOB1521,SGOB-01-016-A
Entidades5320,OAX-IFA-06
CNSF4054,CNSF-13-015
SEGOB2215,SGOB-04-005
CENAM3435,CENAM-00-011
SEDENA946,SEDENA-00-001
CNSF3291,CNSF-12-004-C
COFEPRIS685,COFEPRIS-01-005
CONSAR3636,CONSAR-01-011
SE1404,SE-04-016-A
PROFECO3858,PROFECO-00-014-B
SAT2228,SAT-04-010
CNSF3296,CNSF-12-005-E
SEMARNAT240,SEMARNAT-03-003-B
CNSF3294,CNSF-12-005-C
SE2177,SE-09-018
SE2412,SE-09-028
SCT1691,SCT-02-146-AD
SHCP1924,SHCP-02-119
SCT2460,SCT-02-179-A
SE1405,SE-04-016-B
PA3265,PA-00-003-A
CNSF4045,CNSF-12-054-B
SE2402,SE-09-027-A
SHCP2200,SHCP-02-132-B
CONDUSEF5011,CONDUSEF-00-010
SE1608,SE-04-017
SEDESOL2014,SEDESOL-21-006
CNSF4047,CNSF-13-001
SCT1843,SCT-03-042-A
CONSAR4141,CONSAR-01-053
CNSF4048,CNSF-13-002
CRE3785,CRE-09-004
SEDENA987,SEDENA-02-041
SE656,SE-03-033-B
PA3609,PA-00-008-B
CNBV3192,CNBV-12-001-J
SCT1853,SCT-04-010-B
CNSF3297,CNSF-12-006
SENASICA3150,SENASICA-01-022
SESNSP3168,SESNSP-00-005
CNSNS3771,CNSN-00-016-D
SEDENA2756,SEDENA-02-034
INAH1303,INAH-00-021-B
SHCP1922,SHCP-02-118
SEMARNAT1736,SEMARNAT-04-007
SAT292,SAT-01-055
INAH1297,INAH-00-015
SCT2461,SCT-02-179-B
SEMAR4461,SEMAR-05-008
FIRA3505,FIRA-00-003
CENAM3436,CENAM-00-012
SCT1017,SCT-04-008
SCT2463,SCT-02-180-A
CONSAR5056,CONSAR-02-013
CNP2492,PROSPERA-00-008
CONAPESCA2478,CONAPESCA-01-042-D
CNSF4056,CNSF-13-017
SCT1105,SCT-03-032
SCT1083,SCT-04-001
CNSF4057,CNSF-13-018
SAGARPA2498,SAGARPA-16-012-B
CNTS4509,CNTS-01-009
SEMARNAT2169,SEMARNAT-04-019
SRE1618,SRE-02-013-A
SENASICA918,SENASICA-01-042
CNSNS3772,CNSN-00-016-E
CNTS4512,CNTS-01-011
PROFEDET342,PROFEDET-00-001
SEDENA1050,SEDENA-02-042
SAT131,SAT-01-045
CNSF4058,CNSF-13-019
SEDENA954,SEDENA-00-005
COFEPRIS4018,COFEPRIS-04-015-K
SCT1842,SCT-03-040-B
SE1611,SE-04-018
CONAPESCA2487,CONAPESCA-01-042-L
SCT2261,SCT-07-037
259932,SEP-18-013
STPS582,STPS-04-002
SCT2221,SCT-02-171-B
SIAP1634,SIAP-00-008
CONSAR5053,CONSAR-02-043-A
SE1087,SE-13-008
SCT1841,SCT-03-041
CONDUSEF2650,CONDUSEF-00-014-C
CNBV3228,CNBV-12-024-F
SEDENA1498,SEDENA-02-012
185058,SEP-18-003
CDI2975,CDI-06-004
CNP831,PROSPERA-00-003
CONAMED267,CONAMED-00-003
SEDESOL2021,SEDESOL-26-002
SE1616,SE-04-019
ISSSTE880,ISSSTE-00-011
IMSS199,IMSS-02-068
SE2847,SE-10-021
SCT1844,SCT-03-042-B
CNBV3199,CNBV-12-006-C
SE1090,SE-13-007
INDESOL643,SEDESOL-19-002
APIDBO3334,APIDBO-03-004
FIRA3508,FIRA-00-008-A
SFP45,SFP-00-008-A
IMSS141,IMSS-03-011
CNSNS3770,CNSN-00-016-C
SEDESOL321,SEDESOL-21-015
SCT2054,SCT-04-073
CONAPESCA2475,CONAPESCA-01-042-A
ASEA5078,ASEA-00-027
Entidades5323,PUE-SEGGOB-001
IMSS592,IMSS-02-002-A
CNBV3200,CNBV-12-006-D
CNBV3202,CNBV-12-007-B
CNBV3208,CNBV-12-007-H
SEDENA1234,SEDENA-02-003
PA2617,PA-03-002-C
SCT2098,SCT-04-056
CDI1027,CDI-01-008-B
SE1390,SE-05-002-A
SEMAR2632,SEMAR-01-001
CNSF5207,CNSF-14-005-A
SCT1013,SCT-04-009
SCT1847,SCT-03-044-A
CONAFOR2328,CONAFOR-06-014
SE2657,SE-09-048
SAGARPA2733,SAGARPA-16-015
CNSNS3776,CNSN-00-016-I
COFEPRIS3996,COFEPRIS-04-004-F
IMPI2805,IMPI-03-007-A
CNBV3204,CNBV-12-007-D
SE1392,SE-05-002-C
CNSF3293,CNSF-12-005-B
IMSS416,IMSS-01-029-A
SCT1855,SCT-04-010-C
SEMARNAT1188,SEMARNAT-03-028
CENAM2873,CENAM-00-001
SEDENA1236,SEDENA-02-004
CONAPESCA305,CONAPESCA-01-023-A
SE1277,SE-03-040-B
SEDENA1552,SEDENA-02-022
PGR938,PGR-01-003
SE1247,SE-03-069
SCT2921,SCT-07-041-A
SCT2088,SCT-04-032
SAT2319,SAT-03-019
SCT1848,SCT-03-044-B
SEMARNAT2821,SEMARNAT-08-042
IMSS211,IMSS-02-066-L
RAN929,SEDATU-00-002
RAN953,SEDATU-04-006
SEMARNAT1189,SEMARNAT-03-038
ASA1426,ASA-00-001-D
ASA1421,ASA-00-001-C
SAT2321,SAT-08-044
INAH1296,INAH-00-013
SCT1858,SCT-04-010-E
CNBV3218,CNBV-12-012-D
SEMARNAT247,SEMARNAT-03-020-B
SCT2922,SCT-07-041-B
SCT2097,SCT-04-055
ASEA5077,ASEA-00-026
SEDENA1483,SEDENA-02-009
CMM3184,CMM-00-001
COFEPRIS3703,COFEPRIS-04-021-B
CNBV3226,CNBV-12-017
CONAPESCA2481,CONAPESCA-01-042-G
SEDENA2011,SEDENA-02-036
SAGARPA2337,SAGARPA-16-008
SCT2053,SCT-04-072
PGR1201,PGR-05-001
ASEA5079,ASEA-00-028
SCT1859,SCT-04-015-A
SCT1395,SCT-02-141-G
SCT1171,SCT-02-029-A
ASEA5081,ASEA-00-029
CNBV3227,CNBV-12-021
ASEA3134,ASEA-00-001-D
CNTS4515,CNTS-01-014
SAGARPA3157,SAGARPA-21-001
SCT2538,SCT-03-018-A
SRE2998,SRE-06-004
SE1176,SE-02-012
SEMAR3013,SEMAR-02-003
SEDENA2937,SEDENA-02-068
SCT2059,SCT-06-013-C
CONSAR3943,CONSAR-01-036-F
SEMARNAT2965,SEMARNAT-10-003
SE1238,SE-03-078
SE2409,SE-09-027-B
SEDENA1481,SEDENA-02-007
SEMARNAT3005,SEMARNAT-04-025-B
CONSAR3945,CONSAR-01-037
SE1227,SE-02-021
IMPI3444,IMPI-03-003-B
SCT2723,SCT-05-008
ISSFAM3712,ISSFAM-01-001
CNSF3288,CNSF-12-003
SE2901,SE-13-002-B
SE1397,SE-05-003-A
CNSF3295,CNSF-12-005-D
CNBV3238,CNBV-12-026-B
SEDESOL3114,SEDESOL-21-016
SEP1282,SEP-11-011-B
SE1398,SE-05-003-B
ASERCA1733,ASERCA-02-001
SCT1150,SCT-02-036-J
SAGARPA1726,SAGARPA-04-038
INAH1288,INAH-00-006
ASA1419,ASA-00-004-B
SE1273,SE-03-036-A
SE1251,SE-03-049
CNBV4285,CNBV-00-001
CNBV3246,CNBV-12-027-D
SCT1818,SCT-04-023
COFEPRIS4001,COFEPRIS-04-004-J
CONSAR3324,CONSAR-01-005
SCT1867,SCT-04-020
ASEA5082,ASEA-00-030
SCT1861,SCT-04-015-B
PRS2915,PRS-00-013-D
CONSAR3306,CONSAR-01-001-A
SCT1810,SCT-04-028
INEHRM2166,INEHRM-00-001
SEGOB2024,SGOB-03-001-E
SE1279,SE-03-040-D
CNBV3212,CNBV-12-009
SCT2137,SCT-04-076
SCT1095,SCT-03-045-A
COFEPRIS4002,COFEPRIS-04-004-K
SEDENA1773,SEDENA-02-029
SRE1872,SRE-02-006
SEGOB1781,SGOB-01-034
DICONSA1747,DICONSA-00-003
CNH5115,CNH-02-011
COFEPRIS4003,COFEPRIS-04-005
COFEPRIS4004,COFEPRIS-04-010-B
SHCP1764,SHCP-02-115
CNBV4305,CNBV-02-009-C
CNBV3255,CNBV-12-027-K
SCT2705,SCT-05-004
SCT2075,SCT-07-027
PA4887,PA-04-001-B
CNBV4321,CNBV-02-049-C
ISSSTE863,ISSSTE-06-008
COFEPRIS4012,COFEPRIS-04-015-E
SCT2513,SCT-02-203
SCT2500,SCT-02-186-C
SCT2706,SCT-05-006-A
SCT2716,SCT-06-031-A
COFEPRIS3521,COFEPRIS-03-005
COFEPRIS4013,COFEPRIS-04-015-F
CNSF3269,CNSF-00-004
CNSF3272,CNSF-11-003-B
COFEPRIS4015,COFEPRIS-04-015-H
CDI1995,CDI-04-010-A
COFEPRIS3409,COFEPRIS-07-001
COFEPRIS4017,COFEPRIS-04-015-J
SAGARPA2496,SAGARPA-16-012-A
INDESOL3305,SEDESOL-01-003
CONSAR3328,CONSAR-01-007-A
CNSF3270,CNSF-11-003-A
SEDENA2814,SEDENA-02-064
ISSSTE813,ISSSTE-06-005-A
CNSF3280,CNSF-12-001-D
CNSF3290,CNSF-12-004-B
IMSS545,IMSS-03-005-C
IMSS183,IMSS-02-038-A
SEMARNAT3004,SEMARNAT-04-025-A
IMSS368,IMSS-01-003-A
SE2900,SE-13-002-A
SCT2225,SCT-02-177-A
SAT129,SAT-01-027
336269,SEP-18-020
CNSF3273,CNSF-11-004
CNSF3274,CNSF-12-001-A
INPRF3629,INPRF-00-007
SEMARNAT456,SEMARNAT-07-035-B
CNSF3278,CNSF-12-001-B
SE220,SE-01-006-A
IMSS544,IMSS-03-005-B
SE1399,SE-05-003-C
SE2185,SE-09-042
CNSF3282,CNSF-12-001-F
CONSAR3641,CONSAR-01-017
COFEPRIS4116,COFEPRIS-09-013
SE1400,SE-05-006
SCT2499,SCT-02-186-B
SCT2038,SCT-02-146-S
SE1619,SE-06-014
CNSF3287,CNSF-12-002-C
CNBV4313,CNBV-02-038
CONSAR3637,CONSAR-01-012
CNSF3289,CNSF-12-004-A
CNBV4323,CNBV-02-049-E
ASEA3132,ASEA-00-001-B
CNSF3299,CNSF-12-007-A
CONSAR3639,CONSAR-01-015
CONSAR3643,CONSAR-01-035
SCT1850,SCT-03-045-D
SEMARNAT1190,SEMARNAT-03-039
CNSF3292,CNSF-12-005-A
SE2195,SE-09-043
ISSSTE861,ISSSTE-06-007-B
PROFEPA2752,PROFEPA-03-001
SE1620,SE-06-016
SE2198,SE-09-046
ASA1425,ASA-00-001-A
CDI2753,CDI-06-001
SCT2045,SCT-03-051-A
SCT2237,SCT-06-018-F
ASA1423,ASA-00-001-B
PROFECO3850,PROFECO-00-004-A
APIDBO3312,APIDBO-01-003
PRS2916,PRS-00-013-E
PROFECO3852,PROFECO-00-004-C
CNH3463,CNH-00-013
SE1621,SE-06-017
SCT2713,SCT-06-027-A
SCT2046,SCT-03-051-B
CNBV4338,CNBV-02-049-F
CNBV4352,CNBV-02-049-P
CONSAR3320,CONSAR-01-003
ASEA5083,ASEA-00-031
IMSS644,IMSS-02-084-B
PRS2914,PRS-00-013-C
CONSAR3316,CONSAR-01-001-C
NAFIN3660,NAFIN-05-002
FIRA4037,FIRA-00-023
CONAPESCA2959,CONAPESCA-01-063
SRE1880,SRE-06-003
CONDUSEF5173,CONDUSEF-03-003
SCT2919,SCT-07-038
SCT1828,SCT-04-021
CONSAR3318,CONSAR-01-002
APIDBO3319,APIDBO-02-002
INAES3647,SEDESOL-30-004-A
SCT1864,SCT-04-018
CONDUSEF5174,CONDUSEF-04-002
IMPI366,IMPI-01-004
SEP1280,SEP-11-004-A
SEP1286,SEP-11-010
SEP1272,SEP-11-001
SAT2311,SAT-08-018
CRE2151,CRE-10-005
SCT1436,SCT-06-001-C
IMSS594,IMSS-02-002-C
CONSAR3322,CONSAR-01-004
SCT2712,SCT-06-014
CONSAR4139,CONSAR-01-051
SEDENA2375,SEDENA-02-047
SEMARNAT255,SEMARNAT-03-061-B
IMPI369,IMPI-01-010
FIRA3840,FIRA-00-012-A
IMPI359,IMPI-01-002
CONSAR3326,CONSAR-01-006-B
SCT2062,SCT-06-018-D
PROFECO1948,PROFECO-00-022-B
SE1877,SE-06-023-B
SCT1485,SCT-06-007-A
INECOL4256,INECOL-00-002
CNBV4351,CNBV-02-049-O
SCT2057,SCT-06-007-C
INDESOL3664,SEDESOL-19-004-A
SE2191,SE-09-035
SE2196,SE-09-044
IMPI363,IMPI-01-003
COFEPRIS3393,COFEPRIS-03-007
SCT1446,SCT-03-007-A
IMPI373,IMPI-06-001
SCT1450,SCT-06-009-A
SHCP2199,SHCP-02-130
SCT2061,SCT-06-018-B
SHCP2201,SHCP-02-134
SE1374,SE-03-047
SE2182,SE-09-022
SCT1454,SCT-06-018-A
SE2194,SE-09-038
CNBV3219,CNBV-12-014-A
FIRA4031,FIRA-00-016
IMSS407,IMSS-01-034-B
CONSAR4145,CONSAR-01-057-A
IMSS425,IMSS-01-034-A
SE2178,SE-09-020
SEDATU3277,SEDATU-05-001
SFP50,SFP-00-008-F
SE2898,SE-13-001-B
SE2179,SE-09-021-A
CONAPESCA2309,CONAPESCA-01-033
SEDATU3298,SEDATU-05-002
RAN2349,SEDATU-04-058
SEMARNAT1539,SEMARNAT-03-058-B
SCT1437,SCT-06-018-C
SFP51,SFP-00-008-G
SEMARNAT1191,SEMARNAT-03-040
SCT2236,SCT-06-018-E
SAT3929,SAT-03-034
SEMARNAT459,SEMARNAT-08-040
PROFECO3853,PROFECO-00-010
SCT2050,SCT-04-031-B
336999,SEP-23-006-A
SCT2249,SCT-06-031-C
SCT2250,SCT-06-031-D
SHCP2354,SHCP-02-126-G
SCT2224,SCT-02-174-B
SEMARNAT296,SEMARNAT-07-033-A
SE2184,SE-09-024
SEMARNAT1488,SEMARNAT-03-042
CNBV3603,CNBV-14-076
SCT2240,SCT-06-026-A
SCT2213,SCT-02-164-B
IMSS597,IMSS-02-002-F
SNICS3141,SNICS-00-006-B
SCT2243,SCT-06-026-B
ISSSTE620,FOVISSSTE-00-005-C
CDI2384,CDI-05-001-A
SNICS3139,SNICS-00-005
SCT2219,SCT-02-170
SESNSP3167,SESNSP-00-007-A
SEMARNAT259,SEMARNAT-05-001
SAT2254,SAT-06-003
CNSF4226,CNSF-13-025
SESNSP1623,SESNSP-00-001-A
SEDESOL2350,SEDESOL-13-001
FONHAPO3242,FONHAPO-03-004
SAT2230,SAT-04-020
SAE3042,SAE-01-001-A
IMSS378,IMSS-02-002-G
CONAPESCA307,CONAPESCA-01-023-B
CONAGUA4523,CONAGUA-01-006
SAT285,SAT-01-048
SE1622,SE-06-018
SCT2063,SCT-07-004
SESNSP1628,SESNSP-00-001-C
CONSAR3325,CONSAR-01-006-A
SCT2523,SCT-07-063
SCT2094,SCT-04-041
COFEPRIS3392,COFEPRIS-03-003
IMSS376,IMSS-02-002-H
IMSS375,IMSS-02-002-I
IMJUVE3257,IMJ-02-001
SCT2726,SCT-07-003
IMSS174,IMSS-02-002-J
SHCP2363,SHCP-02-127-E
SCT2064,SCT-07-005
SE1089,SE-02-007
183232,SEP-17-002
IMSS181,IMSS-02-013
IMPI3170,IMPI-01-005
SE2908,SE-13-021
SE2906,SE-13-005
SCT2470,SCT-02-204
NAFIN3656,NAFIN-03-001-A
SCT2066,SCT-07-007
SE2411,SE-09-027-C
SAT2227,SAT-01-079
SE2183,SE-09-023
SCT2067,SCT-07-009-A
SAT2255,SAT-06-004
PRS2909,PRS-00-012-E
IMPI3171,IMPI-01-006
IMPI388,IMPI-06-004
CONAPESCA2304,CONAPESCA-01-016
SCT2527,SCT-07-062-B
SAT3330,SAT-01-018
IMPI3163,IMPI-03-002-A
SE2396,SE-09-026-B
NAFIN3655,NAFIN-02-002
SCT2720,SCT-05-005-B
SCT2709,SCT-05-006-C
SE2400,SE-09-026-C
IMSS165,IMSS-02-012
SAT3353,SAT-01-022
CNBV3678,CNBV-05-002-D
SEDENA2370,SEDENA-02-046
SCT2531,SCT-07-009-B
SAT2222,SAT-01-075
SHCP2748,SHCP-05-002
SAT3346,SAT-01-026
IMSS472,IMSS-02-026-B
IMSS186,IMSS-02-038-B
SCT2528,SCT-07-065-A
CONAPESCA302,CONAPESCA-01-018
CDI2436,CDI-04-011
SAT2232,SAT-04-041
COFEPRIS728,COFEPRIS-01-021-A
CFE3142,CFE-00-005
SCT1676,SCT-02-146-A
CONAPESCA291,CONAPESCA-01-068
SEDENA2380,SEDENA-02-045
SCT2084,SCT-08-001-E
IMSS192,IMSS-02-059
SAT3349,SAT-01-029
INAES3661,SEDESOL-30-006-A
STPS2373,STPS-05-062
CNH3464,CNH-00-012-E
CFE3143,CFE-00-014
SENASICA3152,SENASICA-01-024-B
SAT2279,SAT-06-016
CAPUFE931,CAPUFE-01-001
SENER2431,SENER-07-008
CFE3145,CFE-00-016
SAGARPA3154,SAGARPA-04-039
SAT3356,SAT-01-041
SAT3350,SAT-01-057
PROFEDET5273,PROFEDET-00-005
IMSS606,IMSS-02-028-G
CNBV4215,CNBV-12-001-E
COFEPRIS3411,COFEPRIS-09-002
SE1871,SE-06-020
SAT3361,SAT-01-062
CNBV4356,CNBV-14-011-A
COFEPRIS3523,COFEPRIS-05-041-B
ASEA4154,ASEA-00-014
PRODECON1804,PRODECON-00-001
SAT2298,SAT-08-004
