Encuesta,Ficha,Homoclave,1.1 ¿Te parece útil esta información?,1.2 ¿Consideras que falta información?,1.3 ¿Qué información crees que falta?,1.4 ¿Qué podemos mejorar?,Fecha
3799,SEDENA36,SEDENA-01-007,Sí,Sí,Las direcciones de los comsulados y juntas en Monterrey nuevo leon,Ubicaciones de donde se tramita este servicio,2016-03-10
3805,SRE112,SRE-03-002,Sí,Sí,la vigencia de los pagos,considero que era mejor el tramite cuando tu acudes personalmente sin necesidad de cita por que no toda la gente cuenta con un trabajo en donde te den permiso para salir a la hora que tienen disponible deberÐ“Â­a de haber atenciÐ“Ñ–n para personas con cita y para las personas que acuden sin cita....,2016-03-10
3759,SEP71,SEP-01-031-A,Sí,Sí,Indicar cual es la llave de pago (despues de realizar el pago) para continuar el tramite (poner imagen). AdemÐ“ÐŽs de seÐ“Â±alar que bancos se puede realizar el deposito.,Poner imagenes de los documentos necesarios. Como ejemplo.,2016-03-10
3760,IMSS166,IMSS-02-025-A,No,No,,"De que sirve tener la pagina segun para agilizar si al final te hacen ir al IMSS a hacer el tramite como siempre, teniendo las herramientas para hacerlo por medios electronicos.",2016-03-10
3806,SRE572,SRE-01-020-A,Sí,Sí,Que se pueda realizar la cita para el pasaporte en linea. O no encontrÐ“Â© la liga.,Que se pueda realizar la cita para el pasaporte en linea.,2016-03-10
3761,SRE112,SRE-03-002,Sí,No,,"el tramite de citas, ya que el numero ofrecido no funciona.",2016-03-10
3814,SEDESOL58,SEDESOL-20-001-A,Sí,No,,"crear un link en donde se pueda enviar la solicitud del programa via electrГіnica, ya que por lo lejano a la capital se complica hacer los tramites y aprovechar los beneficios que en ellos pudieran haber",2016-03-10
3810,SRE112,SRE-03-002,No,Sí,RealizaciÐ“Ñ–n de citas por internet (funcionando) o que contesten los telÐ“Â©fonos incluyendo el 01800,la atenciÐ“Ñ–n del personal,2016-03-10
3815,SRE116,SRE-03-006-B,No,Sí,ccitas,que contesten  y q se pueda programar la cita esde este medio,2016-03-10
3816,SRE112,SRE-03-002,Sí,No,,"Se podrГ­a llenar el formato para pago en banco directamente en la pagina y con la opciГіn de imprimirlo en casa para llevarlo al banco directamente, ya que yo tuve que ir primero por el formato a la oficina de gobierno y se pierde mucho tiempo en tanto transporte.",2016-03-11
3817,SRE117,SRE-03-006-A,Sí,No,,"QUE LA LINEA 01800 QUE MANEJAN TENGA MAS ACCESIBILIDAD YA QUE SE BATALLA MUCHO PARA QUE ENTRE Y CONTESTEN LA LLAMADA,

EN VARIAS OCACIONES DICE QUE EL NUMERO NO EXISTE O QUE ESTE NUMERO NO PUEDE RECIBIR LLAMADAS.

ESTO ES MUY MOLESTO YA QUE SE PIERDE MUCHO TIEMPO.",2016-03-11
3811,SRE112,SRE-03-002,No,No,,QUE EL TRAMITE SEA COMO UNA LICENCIA QUE UNO PUEDA SOLICITARLO Y LA ENTREGA SEA DE UN DIA PARA OTRO O EN SU DEFECTO EL MISMO DIA PERO AHORITA ES UN TRAMITE QUE DURA HASTA 1 MES,2016-03-11
3800,SRE113,SRE-03-003,Sí,Sí,"donde estan los formatos para el pago de derechos?
donde se puede pagar?
esa informacionno es facil de encontrar","donde se localizan los formatos, ejemplos de datos que hay que llenar",2016-03-11
3764,SCT1106,SCT-03-028-B,No,Sí,Pues no c pueden hacer los tramites en lÐ“Â­nea hacen todo muy mal las pestaÐ“Â±as no habren facil,Si permiten hacer tramites en linea faciliten las paginas donde pueden hacer los tramites correspondientes,2016-03-11
3813,SRE113,SRE-03-003,Sí,Sí,El enlace de la pagina para hacer la cita,Que sea mas facil encontrar el enlace para hacer las citas por internet,2016-03-11
3814,SRE120,SRE-03-010,No,Sí,Link cita,La selecion estados ni sirve y menos la de los municipios,2016-03-11
3765,SRE113,SRE-03-003,Sí,Sí,Agendar citas,"El servicio que ofrecen para realizar citas que es el 018008010773 es muy ineficiente, ya que he tratado de comunicarme mas de 100 veces para sacar cita de renovacion de pasaporte y simplemente no sale la llamada.
DeberÐ“Â­an de crear mas lineas telefÐ“Ñ–nicas o tener la modalidad de realizar las citas por internet",2016-03-11
3815,SEGOB171,SEGOB-05-005,Sí,Sí,Especificar los documentos que presentarÐ“ÐŽ el cÐ“Ñ–nyuge serÐ“ÐŽn los de ambos o solo de una de las partes.,AlgÐ“Ñ”n chat o linea 1800 para resolver dudas no solo para referir a la gente a esta misma pagina.,2016-03-11
3801,SRE113,SRE-03-003,Sí,No,,FALTA LA OPCION DE REALIZART LAS CITAS PARA EL PASAPORTE VIA INTERNET (COMO ANTES),2016-03-11
3802,SEP69,SEP-01-030-A,No,Sí,poner la liga de formato&solicitud.,"GOB.MX beta es una mierda, no sirve, no encuentras nada, parece un blog. Claramente la estrategia digital se lleva a cabo por alguien muy limitado y bien conectado en el gobierno porque la estrategia va muy tarde y va muy mal. Dejen de complicar la vida de los ciudadanos!",2016-03-11
3820,SRE112,SRE-03-002,Sí,Sí,Tener mГЎs accesible el nГєmero telefГіnico para hacer citas.,"Dar la opciГіn de hacer cita por internet para tramite de pasaporte por PRIMERA vez, solo dan la opciГіn de hacer la citas por este medio si es renovaciГіn. HipervГ­nculo a info de citas",2016-03-11
3803,SRE112,SRE-03-002,No,Sí,No viene el dato en donde se puede hacer la cita por internet. ,"En el caso que hayan quitado las citas por internet, pienso que el proceso es retrÐ“Ñ–grada y torpe, actualmente el internet es una herramienta muy Ð“Ñ”til para facilitar cualquier proceso o trÐ“ÐŽmite. Increible que hayan quitado esta herramienta y se tenga que hacer cita por telÐ“Â©fono y/o presentarse a hacer una fila de horas para un trÐ“ÐŽmite que deberia de ser bastante fÐ“ÐŽcil. Definitivamente MÐ“Â©xico no se esta moviendo. ",2016-03-11
3804,SRE112,SRE-03-002,No,Sí,No viene el dato en donde se puede hacer la cita por internet. ,"En el caso que hayan quitado las citas por internet, pienso que el proceso es retrÐ“Ñ–grada y torpe, actualmente el internet es una herramienta muy Ð“Ñ”til para facilitar cualquier proceso o trÐ“ÐŽmite. Increible que hayan quitado esta herramienta y se tenga que hacer cita por telÐ“Â©fono y/o presentarse a hacer una fila de horas para un trÐ“ÐŽmite que deberia de ser bastante fÐ“ÐŽcil. Definitivamente MÐ“Â©xico no se esta moviendo. ",2016-03-11
3805,SRE112,SRE-03-002,No,Sí,No viene el dato en donde se puede hacer la cita por internet. ,"En el caso que hayan quitado las citas por internet, pienso que el proceso es retrÐ“Ñ–grada y torpe, actualmente el internet es una herramienta muy Ð“Ñ”til para facilitar cualquier proceso o trÐ“ÐŽmite. Increible que hayan quitado esta herramienta y se tenga que hacer cita por telÐ“Â©fono y/o presentarse a hacer una fila de horas para un trÐ“ÐŽmite que deberia de ser bastante fÐ“ÐŽcil. Definitivamente MÐ“Â©xico no se esta moviendo. ",2016-03-11
3806,SRE112,SRE-03-002,Sí,Sí,"Para el caso en el que se tiene un pasaporte expedido por el consulado en estados unidos el cual  reemplaza al expedido en MÐ“Â©xico, indicar que se requiere copia de todo el pasaporte, incluyendo las leyendas del motivo de reemplazo. para mi caso son 5 hojas, ya que no me recibieron mi informaciÐ“Ñ–n por faltar estas hojas, solo llevaba la copia del frente y aparte no te dejan ir a sacar copias ni te dan la facilidad de hacerlo en el interior.
perdÐ“Â­ mi cita por esta situaciÐ“Ñ–n.","para los que fueron acentados en fecha posterior a su nacimiento, deberÐ“Â­an de aceptar la cÐ“Â©dula profesional como autenticidad de nacionalidad, no que piden el certificado de primaria, el cual lo tienes que haber presentado, si no no se hubiese podido inscribir a secundaria.",2016-03-11
3767,SRE112,SRE-03-002,Sí,Sí,Buenos dÐ“Â­as pues pueden mejorar pudiendo agendar citas vÐ“Â­a Internet gracias por la info pero pues no resolvÐ“Â­ nada por telÐ“Â©fono tengo 3 dÐ“Â­as tratando de agenda una cita,Las citas,2016-03-11
3768,SRE232,SRE-01-031,Sí,Sí,marca error al querer realizar el formato para la solicitud,habilitarlo y que sea mas accesible,2016-03-11
3819,SRE112,SRE-03-002,No,Sí,"como hago la cita!!!! el Ð“Ñ”nico numero que dan y que NO muestra esta pagina, no funciona!!!!",,2016-03-11
3770,SRE94,SRE-01-010-C,No,Sí,No dice nada de como poder obtener actas de defunciÐ“Ñ–n de familiar fallecido en el extranjero,no responden telÐ“Â©fonos de operadoras,2016-03-11
3821,SRE117,SRE-03-006-A,Sí,Sí,Que especifiquen los pagos son en efectivo y que no aceptan tarjetas de debito,Aceptando cualquier forma de pago,2016-03-11
3771,SRE116,SRE-03-006-B,No,Sí,"Si, la disponibilidad de poder agendar citas vÐ“Â­as internet.","El servicio vÐ“Â­a telefÐ“Ñ–nica solo se puede utilizar vÐ“Â­a celular, no esta disponible en los horarios que mencionan y la informaciÐ“Ñ–n que brindan es DEFICIENTE. Solo informan si hay o no citas en la delegaciÐ“Ñ–n que se preguntÐ“Ñ–, pero no informan de oficinas cercanas, posibles fechas, etc. Solo se limitan a decir VUELVA A LLAMAR. En verdad que la CALIDAD del servicio es POBRE.

DeberÐ“Â­an ampliar los medios para programar citas.",2016-03-11
3808,IMSS165,IMSS-02-012,No,Sí,No encuentro el camino para hacer el tramite en linea,opcion para hacer el tramite en linea,2016-03-11
3823,SRE113,SRE-03-003,No,Sí,"Para empezar el servicio en el portal es ambiguo, no te conduce a ningГєn lado , ya que , la informaciГіn  no es completa, el numero que proporcionan  ni siquiera recibe llamadas","el portal, actualizarlo, poner toda la informaciГіn pertinente, y los nГєmeros en servicio que de verdad estГ©n complementados y en funcionamiento.",2016-03-11
3809,SRE113,SRE-03-003,Sí,No,,"En la oficina central de Guadalajara Jalisco que esta en la plaza comercial ""plaza bonita"" tienen la informaciÐ“Ñ–n impresa de los costos pero no muestran la columna correspondiente a la edad por lo que si alguien como yo tramitarÐ“ÐŽ el pasaporte de una menor cuya edad es 5 aÐ“Â±os  y elige 10 aÐ“Â±os no serÐ“ÐŽ vÐ“ÐŽlido el pago pues aquÐ“Â­ en su pÐ“ÐŽgina aparece que para menores de 6 aÐ“Â±os el mÐ“ÐŽximo de vigencia es de 6 aÐ“Â±os pero en la informaciÐ“Ñ–n impresa en las oficinas centrales no se tiene esta columna por edades.",2016-03-12
3772,SRE112,SRE-03-002,Sí,Sí,"EL PORTAL PARA REALIZAR LA CITA EN LINEA NO FUNCIONA, VAN DOS FOLIOS QUE ME DA PERO NO ME PERMITE CONTINUAR DEL 3ER PASO. (FOLIOS 9809589 Y 9809865), EL FORMATO ES CONFUSO, Ð’Ñ—A QUÐ“â€° SE REFIEREN CON ""LOCALIDAD"" (INDISPENSABLE) CUANDO UNO VIVE EN EL DF Y YA DIO DIRECCION, CODIGO POSTAL, DELEGACION Y CIUDAD.  EL FORMULARIO SE TRABA Y NO LO DEJA A UNO AVANZAR.",TODO LO ANTERIOR,2016-03-12
3773,NAFIN486,NAFIN-05-003,No,Sí,"1.- QuÐ“Â© haces con los documentos?

2.- A que bancos me pueden atender?

3.- Ð’Ñ— QuiÐ“Â©n otorga el crÐ“Â©dito?

4.- Ð’Ñ—Que puedo esperar despuÐ“Â©s de tramitar el crÐ“Â©dito?","Leer la informaciÐ“Ñ–n como si fueran los clientes y preguntarse si con eso puedes realizar tu tramite.

Bajo el criterio de que si no dan la informaciÐ“Ñ–n completa, entonces lo que estÐ“ÐŽn haciendo es desinformando puesto que ustedes son o deben ser la FUENTE.

DespuÐ“Â©s de leer esto me siento desinformado....",2016-03-12
3811,SRE112,SRE-03-002,Sí,No,,"Dar atencion los dias sabados, entre semana todos estamos trabajando y nos resulta dificil hacer el tramite.",2016-03-12
3825,SRE112,SRE-03-002,Sí,Sí,poder agendar la cita por internet,abiliten la opcion de agendar una cita,2016-03-12
3774,SFP54,SFP-04-001,No,Sí,La pestaÐ“Â±a de selecciÐ“Ñ–n no tiene estados ni municipios,"HAcerlo por internet, actualÐ“Â­cense",2016-03-12
3775,SRE112,SRE-03-002,Sí,No,,"Hola eh estado marcando el 01 800 para realizar mi cita para trÐ“ÐŽmite de pasaporte y me es imposible comunicarme ya que siempre me marca error en la llamada desde cualquier telÐ“Â©fono, donde mÐ“ÐŽs puedo realizar mi cita? Me encuentro en la ciudad de Tijuana BC",2016-03-12
3776,IMJUVE917,IMJ-00-002,Sí,No,,". hola somos pasantes y profesionales enprendedores generadores y difusores de contenidos publicitarios esta es nuestra propuesta
.y no encontramos en tramites agencias por comision o medios
 . http://laasociacion.mex.tl/677373_ASOCIACION-COMERCIAL-WEB.html",2016-03-12
3813,STPS585,STPS-04-003,Sí,Sí,"Tener los archivos para el llenado y los requisitos que solicitan, anteriormente se daba la informaciÐ“Ñ–n completa.",Presentar la informaciÐ“Ñ–n o tener un link para que nos envie a dicha informaciÐ“Ñ–n. aun cuando sea pdf sirve.,2016-03-12
3822,SRE113,SRE-03-003,No,Sí,EL TelÐ“Â©fono o contacto para sacar la cita.,InformaciÐ“Ñ–n incompleta.,2016-03-13
3823,SEDENA38,SEDENA-01-009,No,Sí,Ser mad especÐ“Â­ficos en cuanto a como poder realizar el trÐ“ÐŽmite de reposiciÐ“Ñ–n de la cartilla,Ser mad claros con la informaciÐ“Ñ–n y proporcionar algÐ“Ñ”n nÐ“Ñ”mero telefÐ“Ñ–nico para aclarar dudas,2016-03-13
3824,SRE112,SRE-03-002,Sí,No,,"Colocar el portal para agendar citas via internet asi como arreglar los problemas del sitio ya que no deja agendar o marca error en datos, tambien me gustaria que consideraran la idea de abrir fechas urgentes",2016-03-13
3815,SRE113,SRE-03-003,No,Sí,El link para sacar la cita de pasaporte  no funciona. No es posible que den la informaciÐ“Ñ–n y al final no sirva para nada,PÐ“Ñ–ngase a trabajar y terminen las cosas. O hÐ“ÐŽganlas bien desde el principio,2016-03-13
3816,SEP70,SEP-01-030-B,No,Sí,Mejor sistema,Las citas me urge mi cÐ“Â©dula necesito sacarla urgentemente,2016-03-13
3817,SEP844,SEP-23-001,Sí,Sí,la fecha de actualizaciÐ“Ñ–n de la pagina,"claro: indicando los pasos a seguir, por si estamos interezados",2016-03-13
3828,SEP69,SEP-01-030-A,Sí,No,,"disculpen.tengo una una duda. es que voy a tramitar mi cedula profecional y ya hize el procedimiento lo unico que no se si este bien es la solicitud de expedicion de cedula ya que me arrojo tres hojas y yo se que es una hoja de ambos lados.entonces mi duda es esa si asi  presentarlo en las oficinas y el llenado pues a computadora. espero me saquen de la duda ,muchas gracias",2016-03-13
3818,IMSS554,IMSS-03-004,Sí,Sí,Sede receptora,"Que la autorizacion y enlace sea directo con las autoridades academicas de la sede receptora, esto agilizarÐ“Â­a hasta 6 veces el trÐ“ÐŽmite",2016-03-13
3829,SRE113,SRE-03-003,Sí,Sí,"CГІmo tramitar pasaportes para urgencias? Tuve ayer una urgencia y ninguna oficina en la Cd de Mexico me pudo ayudar sin cita.

Debe de haber oficina que atiendan emergrncias todos los dГ­as.","Ayer spabado 12 de marzo salГ¬a de viaje y al hacer el check in me comentan que el pasaporte no era vГ lido para viajar ya que necesitana tener al menso 3 meses despuГ©s de la fecha de regreso del viaje.
Mi pasaporte tenГ­a dos meses.
Al intentar renovar el pasaporte encontrГ  la enorme sorpresa de que no hay opciГіn de tramitar de manera urgente. Si ni tienes cita no hay forma. Les pido que tengan una oficina que emita pasaportes urgentes para el caso que el viajero considere urgente.
Les comento esto ya que me preguntaron en la DelegaciГіn Benito JuГЎrez que tipo de urgencia ya que solo las mГЁdicas eran urgencias, las laborales o de otro tipo no lo eran.
Es un servicio que el gobierno debe de ofrecer cuando el usuario no necesite ya que en el trГ nsito de personas a nivel mundial siempre hay urgencias. Nuestro paГ­s no estГ  preparado para urgencias de viajeros y lo debe de estar.
Es una pena ya que yo trabajo para una empresa Alemana y no me creen que no haya podido conseguir el pasaporte de manera agil.
Claro, esto inicio desde el momento que las lГ­neas aГ©reas no informan adecuadamente. Debe de haber tambiГ©n un cargo a la lГ­nea aГ©rea que no informe adecuadamente ya que el costo extra por cambio de vuelo o pГЁrdida de vuelo lo harГЁ yo y la lГ­nea aГ©rea que no informГі adecuadamente no.",2016-03-14
3819,SRE313,SRE-01-037,Sí,Sí,No indican que se necesita para la renovaciÐ“Ñ–n de VISA,un submenÐ“Ñ” despuÐ“Â©s de los diferentes tipos de visa que indiquen los pasos a seguir en la renovaciÐ“Ñ–n de cada una de ellas,2016-03-14
3821,SFP54,SFP-04-001,No,Sí,POR QUE PARA SACAR LA CITA PARA EL PASAPORTES SE ATORA LA PAGINA EN DATOS COMPLEMENTARIOS,POR QUE PARA SACAR LA CITA PARA EL PASAPORTES SE ATORA LA PAGINA EN DATOS COMPLEMENTARIOS,2016-03-14
3826,SE66,SE-09-041,Sí,No,,Al momento de iniciar en el sistema los exploradores bloquean las aplicaciones basadas en Java,2016-03-14
3783,FONART909,FONART-01-001,Sí,Sí,"Falta la direccion de las oficinas, numeros de telefonos, informacion contacto. correo electronico del encargado. etc.",todo eso lo que escribi,2016-03-14
3829,SRE113,SRE-03-003,No,Sí,TelÐ“Â©fonos e oficina que funcionen,Liga para renovar pasaporte mas fÐ“ÐŽcil y directo con lo que se requiere,2016-03-14
3836,SRE112,SRE-03-002,Sí,No,,que realmente fuera asi de facil,2016-03-14
3785,SRE112,SRE-03-002,Sí,Sí,Indicar en que instalaciones del SAT te otorgan el formato pago de derechos y el horario que manejan.,La informacion acerca de OP7,2016-03-14
3823,SRE112,SRE-03-002,Sí,Sí,Una link directo para realizar la cita pertinente en la DelegaciÐ“Ñ–n mÐ“ÐŽs conveniente.,LINK de enlace directo para agendar las citas.,2016-03-14
3838,SEP69,SEP-01-030-A,Sí,Sí,establecer mejor las fechas para las citas,la programaciГіn de las citas y dar un poco mas de tiempo para poder realizarla ya que cuando se ingresa el calendario aparece con demasiados dГ­as inhГЎbiles,2016-03-14
3787,SRE113,SRE-03-003,Sí,Sí,"NO ENCUENTRO POR NINGUN LADO COMO REALIZAR LAS CITAS...DEBERIAN INCLUIR EL TELEFONO PARA PODER LLAMAR O BIEN, DAR LA OPCION DE AGENDARSE UNO MISMO UNA CITA.","NO ENCUENTRO POR NINGUN LADO COMO REALIZAR LAS CITAS...DEBERIAN INCLUIR EL TELEFONO PARA PODER LLAMAR O BIEN, DAR LA OPCION DE AGENDARSE UNO MISMO UNA CITA.",2016-03-14
3789,IMSS167,IMSS-02-025-B,No,Sí,"Dar la informaciÐ“Ñ–n de las subdelegaciones del ISSSTE horario atenciÐ“Ñ–n, ubicaciÐ“Ñ–n y nÐ“Ñ”meros telefÐ“Ñ–nicos para asesorÐ“Â­a o informaciÐ“Ñ–n",Ampliar la informaciÐ“Ñ–n,2016-03-14
3790,SRE116,SRE-03-006-B,Sí,No,,"Llevo dÐ“Â­as marcando al nÐ“Ñ”mero para la cita y siempre esta ocupado, me urge...",2016-03-14
3825,SEP67,SEP-01-027-A,No,Sí,"Forma de efectuar el trÐ“ÐŽmite. Con poder simple o notariado, o certificaciÐ“Ñ–n de firmas.",Complementar la informaciÐ“Ñ–n para quienes radicamos fuera del Ð“ÐŽrea metropolitana de la Ciudad de MÐ“Â©xico,2016-03-14
3834,SRE113,SRE-03-003,Sí,No,,"Poner el formato de pago en esta pagina, para que lo podamos descargar sin necesidad de ir a las oficinas Ð“Ñ”nicamente por el formato para despuÐ“Â©s ir al banco.",2016-03-14
3827,SRE113,SRE-03-003,Sí,Sí,Una liga para que se pueda hacer la cita para el pasaporte por internet.,Que se pueda hacer la cita para el pasaporte por internet.,2016-03-14
3791,SRE113,SRE-03-003,Sí,Sí,"como saber por este medio, si llego tu pasaporte a la ofna y no tner que estar llamando y saturandoles las lineas, es un problema para que contesten","organize su pagina de internet con confirmacion sobre la llegada de pasaportes a las oficinas enlace, de verdad es muy engorroso el tramite y lento",2016-03-14
3793,SEMARNAT454,SEMARNAT-07-015,No,Sí,"Ð’Ñ—DesapareciÐ“Ñ– la SEMARNAT?
Ð’Ñ—Por quÐ“Â© se habla sÐ“Ñ–lo de trÐ“ÐŽmites? Ð’Ñ—La SEMARNAT es una ventanilla o es el Ð“Ñ–rgano rector de la polÐ“Â­tica ambiental en MÐ“Â©xico?
Ð’ÐŽNo puedo entrar a la pÐ“ÐŽgina de la SEMARNAT y sus programas!","Ð’ÐŽRegresen la pÐ“ÐŽgina de la SEMARNAT a un lugar accesible por favor!
Ð’ÐŽNo encuentro los programas del Sector Medio Ambiente!",2016-03-14
3795,SRE112,SRE-03-002,Sí,Sí,Quiero hacer mi cita aquÐ“Â­,Hacer mi cita en esta misma pÐ“ÐŽgina,2016-03-15
3797,SFP54,SFP-04-001,Sí,Sí,"El enlace para realizar las citas por Internet o en su defecto, el telÐ“Â©fono al que podemos comunicarnos para agendar la cita.","Agregar el enlace para realizar la cita por internet,",2016-03-15
3842,SEDATU968,SEDATU-02-002,Sí,Sí,"informaciГіn breve de lo que trata cada ""documento requerido""",informaciГіn mas concisa,2016-03-15
3837,SRE113,SRE-03-003,No,Sí,poder acceder al calendario para agendar citas.,que el calendario funcione,2016-03-15
3843,SEP844,SEP-23-001,Sí,Sí,mas informaciГіn sobre las becas.,el tramite podrГ­a ser por internet,2016-03-15
3829,SE66,SE-09-041,No,Sí,El proceso no se puede finalizar en lÐ“Â­nea. Si tuvieran posibilidad de hacerlo vÐ“Â­a telefÐ“Ñ–nica estarÐ“Â­a medianamente bien.,"Que los sistemas online funcionen. No funciona, no puedo realizar trÐ“ÐŽmites, no tiene sentido tener una plataforma web en donde no puedes realizar los trÐ“ÐŽmites. Tengo Chrome de Ð“Ñ”ltima generaciÐ“Ñ–n y Firefox igualmente, en ninguno funciona. necesito crear una SAS.",2016-03-15
3798,SEGOB171,SEGOB-05-005,Sí,No,,"LAS CORRECCIONES DELA CURP DEBERÐ“ÐŒAN DE HACERSE POR RSTA VIA (INTERNET), SOLICITANDO LA DOCUMENTACIÐ“â€œN NECESARIA ESCANEADA. 
DONDE SE MEUESTRE CLARAMENTE LA DISCREPANCIA.",2016-03-15
3830,SRE112,SRE-03-002,Sí,Sí,"Para sacar tramites de pasaporte vÐ“Â­a Internet, uno no puede avanzar del paso 2 porque hace falta la lista de las colonias (MÐ“Â©rida) y como por default no te deja poner otra cosa la pÐ“ÐŽgina, TE ESTANCAS  en ese paso ya que no puedes continuar si los campos a llenar no estÐ“ÐŽn completos.","ComentÐ“Â© hace dÐ“Â­as que no podÐ“Â­a avanzar el tramite ya que la pÐ“ÐŽgina no te va guiando, veo que mejoraron en eso, felicidades, ya manda un mensaje de porque no avanzas y te da luz! Sin embargo debieran verificar el funcionamiento de sus pÐ“ÐŽginas, no tiene que ser un dolor de cabeza tener que hacer un tramite, gracias a Dios no me es urgente. En el paso dos no te da opciones para seleccionar colonia(MÐ“Â©rida), ni te deja ingresarla, y ya que por default se queda vaciÐ“Ñ– ese campo se estanca el tramite. Me es grato ver que se mejorÐ“Ñ– un poco y RÐ“ÐƒPIDO, pero les hace falta.",2016-03-15
3838,SRE117,SRE-03-006-A,Sí,Sí,"Que en la pagina si se permita realizar el agenda de citas, estaba mucho mejor la pagina que se tenia antes solucionaba todo tipo de dudas y te dejaba concluir el tramite de citas de una manera sencilla y sin tanta traba. aqui piden mucha informaciÐ“Ñ–n  para sacar una cita que al final ni se puede concluir.",pagina mas sencilla pero completa y bien fundamentada que deje concluir procesos.,2016-03-15
3799,SRE159,SRE-03-015,No,Sí,"GOB.MX NO ESTÐ“Ðƒ TERMINADA, ACTIVEN DE VUELTA LAS PAGINAS DE CADA SECRETARÐ“ÐŒA","No se pueden agendar citas, no es accesible la informaciÐ“Ñ–n importante, ni los tramites.",2016-03-15
3845,SRE112,SRE-03-002,Sí,Sí,Falta que agilicen las citas,"La programaciГіn de una cita es casi imposible, marque durante una semana, y el Гєnico dГ­a que me contestaron no habГ­a red para citas, me pidieron que marcara en 1 hora, y claro que ya no volviГі a entrar la llamada , un muy mal servicio",2016-03-15
3800,SRE112,SRE-03-002,Sí,Sí,Falta la opcion de sacar cita en su pagina de internet...,Poner la iopcion de sacar cita por internet,2016-03-15
3840,SRE160,SRE-03-016,Sí,Sí,Para agendar citas por internet. Ð’Ñ—Donde se pueden realizar? o Citas via telefonica no aparece un numero telefonico.,"Que apareciera el numero telefonico donde uno puede realizar citas para el tramite del pasaporte.
Que tuviera un link para realizar citas en linea",2016-03-15
3841,SRE112,SRE-03-002,Sí,Sí,"Citas por internet, ya que cuando uno intenta hacer la cita por telÐ“Â©fono te dicen que falla el sistema. O en su caso poder hacer la cita en la delegaciÐ“Ñ–n que corresponda, al menos cuando el sistema falle.","Citas por internet, ya que cuando uno intenta hacer la cita por telÐ“Â©fono te dicen que falla el sistema. O en su caso poder hacer la cita en la delegaciÐ“Ñ–n que corresponda, al menos cuando el sistema falle.",2016-03-15
3846,SFP54,SFP-04-001,No,Sí,no puedo agendar cita.... no permite realizar queja.... no hay telefono de atencion telefonica....,"en que se pueda realizar el tramite.... ya realize lo que me piden , cree una cuenta no permite agendar cita ni en los dias de disponibilidad ni en los de total disponibilidad",2016-03-15
3847,SRE360,SRE-01-012,No,Sí,horarios y tiempo de respuesta al tramite.,Contesten los telГ©fonos....!!!,2016-03-15
3803,SRE112,SRE-03-002,Sí,No,,"Fui a ventanilla de la SRE en hermosillo,  me dieron el numero 018008010773, que agendara una cita y marco y marco y no me contestan.
Que hago para poder sacar mi pasaporte entonces?",2016-03-15
3804,SRE113,SRE-03-003,Sí,No,,Que contestes en su 01800,2016-03-15
3845,SRE113,SRE-03-003,Sí,No,,"que tengo todo el dia marcando para una cita, y no me contestan y me urge para maÐ“Â±ana.",2016-03-15
3806,SRE113,SRE-03-003,Sí,Sí,"Hola, gracias por tomar mi sugerencia. No he podido concertar una cita a el consulado en Toronto para renovar mi pasaporte, ya que no me permite agregar una direcciÐ“Ñ–n en CanadÐ“ÐŽ.
Gracias por el apoyo.","Validar el mÐ“Ñ–dulo de toma de direcciones para otros paÐ“Â­ses como CanadÐ“ÐŽ.
Dar opciones de bÐ“Ñ”squeda para Consulados u oficinas de enlace fuera de la RepÐ“Ñ”blica Mexicana.
Gracias!",2016-03-15
3849,SRE112,SRE-03-002,Sí,Sí,Que no dicen que la entrega del pasaporte es muuuuy tardada al igual hacer una cita,"-Pueden mejorar sus lineas telefonicas para dar un mejor servicio en las citas, ya que para poder conseguir una hay que estar llamando todo el dГ­a y ni si quiera se escucha bien.
-Ampliar el horario de atenciГіn ya que la fecha de citas disponibles son h",2016-03-15
3839,SRE113,SRE-03-003,Sí,Sí,El espacio en donde se agendan las citas por internet,El espacio en donde se agendan las citas por internet debido a que no lo encontrÐ“Â©.,2016-03-15
3808,SRE159,SRE-03-015,Sí,No,,NO DAR MUY LEJOS LAS CITAS DE LOS PASAPORTES,2016-03-15
3809,SRE112,SRE-03-002,Sí,No,,la atenciÐ“Ñ–n. Es imposible comunicarse para sacar cita de renovaciÐ“Ñ–n,2016-03-15
3840,SRE113,SRE-03-003,No,Sí,"1. Confirmar si es necesario agenda una cita o si Ð“Ñ”nicamente se debe presentar uno con el Pasaporte y comprobante de Pago.
2. Incluir el telÐ“Â©fono y pÐ“ÐŽgina de la DelegaciÐ“Ñ–n del Estado.",Un chat para contacto online.,2016-03-16
3849,SRE112,SRE-03-002,No,Sí,que me muestres los municipios para seleccionar el que necesito,"empezando por esto, y en consecuencia mejorar y atender tu lÐ“Â­nea telefÐ“Ñ–nica que tengo desde el viernes y ni se me atiende",2016-03-16
3851,SCT1108,SCT-03-033,Sí,Sí,PODRIAN PONER CUANTO TARDA EL TRAMITE EN LINEA,ME TARDE EN ACCEDER ES ALGO AMBIGUO EL SISTEMA DE ACCESO,2016-03-16
3811,SRE117,SRE-03-006-A,Sí,Sí,No se encuentra el link para las citas y no sirve el que muestran,Poner el link para sacar cita. No se encuentra en ningÐ“Ñ”n lado,2016-03-16
